BUURTCODE,buurtname,b_horeca,b_culture,d_gp,d_super,d_nursery
1,Oud Scheveningen,70.0,55.0,0.4,0.4,0.2
2,Vissershaven,180.0,80.0,0.6,0.5,0.3
3,Scheveningen Badplaats,175.0,145.0,0.3,0.6,0.3
4,Visserijbuurt,90.0,90.0,0.3,0.3,0.3
5,Van Stolkpark en Scheveningse Bosjes,15.0,45.0,0.7,0.8,0.3
6,Waldeck-Zuid,15.0,15.0,0.5,0.4,0.5
7,Statenkwartier,240.0,205.0,0.4,0.4,0.3
8,Geuzenkwartier,50.0,70.0,0.6,0.5,0.4
9,Vogelwijk,65.0,55.0,0.5,0.8,0.3
10,Rond de Energiecentrale,115.0,155.0,0.2,0.6,0.2
11,Kortenbos,380.0,275.0,0.4,0.4,0.3
12,Voorhout,415.0,240.0,0.9,0.5,0.4
13,Uilebomen,135.0,85.0,0.5,0.2,0.3
14,Zuidwal,425.0,370.0,0.3,0.3,0.3
15,Schildersbuurt-West,170.0,95.0,0.3,0.4,0.2
16,Schildersbuurt-Noord,95.0,105.0,0.2,0.2,0.2
17,Schildersbuurt-Oost,55.0,45.0,0.3,0.3,0.2
18,Huygenspark,130.0,140.0,0.2,0.2,0.4
19,Laakhaven-Oost,60.0,35.0,0.3,0.3,0.5
20,Moerwijk-Oost,40.0,25.0,0.3,0.3,0.2
21,Groente- en Fruitmarkt,160.0,25.0,0.9,0.4,0.4
22,Laakhaven-West,160.0,55.0,0.4,0.4,0.5
23,Spoorwijk,35.0,20.0,0.3,0.3,0.3
24,Laakkwartier-West,130.0,85.0,0.3,0.4,0.2
25,Laakkwartier-Oost,145.0,130.0,0.5,0.4,0.3
26,Noordpolderbuurt,120.0,90.0,0.5,0.3,0.2
30,Rustenburg,85.0,50.0,0.4,0.4,0.3
31,Oostbroek-Noord,85.0,65.0,0.2,0.2,0.2
32,Transvaalkwartier-Noord,75.0,30.0,0.4,0.2,0.2
33,Transvaalkwartier-Midden,135.0,30.0,0.3,0.2,0.2
34,Transvaalkwartier-Zuid,140.0,45.0,0.3,0.3,0.2
35,Oostbroek-Zuid,120.0,90.0,0.4,0.3,0.2
36,Zuiderpark,10.0,5.0,0.9,0.2,0.2
37,Moerwijk-West,75.0,30.0,0.4,0.4,0.3
38,Moerwijk-Noord,55.0,45.0,0.6,0.7,0.4
39,Moerwijk-Zuid,30.0,25.0,0.8,0.6,0.4
