Buurtcode,total
01,211.0
02,440.0
03,619.0
04,291.0
05,85.0
06,76.0
07,351.0
08,253.0
09,355.0
10,641.0
11,1248.0
12,1011.0
13,954.0
14,2907.0
15,1168.0
16,1062.0
17,583.0
18,1164.0
19,541.0
20,482.0
21,390.0
22,655.0
23,338.0
24,726.0
25,904.0
26,834.0
30,392.0
31,436.0
32,373.0
33,585.0
34,1041.0
35,727.0
36,165.0
37,739.0
38,710.0
39,632.0
40,396.0
41,72.0
42,108.0
43,334.0
44,557.0
45,1033.0
46,361.0
47,166.0
48,89.0
49,101.0
50,90.0
51,431.0
52,330.0
53,224.0
54,556.0
55,860.0
60,360.0
61,404.0
62,98.0
63,901.0
64,353.0
65,478.0
66,416.0
67,176.0
68,41.0
69,449.0
70,35.0
71,573.0
72,99.0
73,92.0
74,73.0
75,57.0
76,92.0
77,142.0
78,62.0
79,62.0
80,560.0
81,67.0
82,422.0
83,136.0
84,1252.0
85,245.0
86,713.0
87,777.0
88,685.0
89,866.0
90,170.0
91,81.0
92,210.0
93,33.0
94,145.0
95,286.0
96,695.0
97,317.0
98,756.0
99,98.0
100,453.0
101,71.0
102,289.0
103,78.0
104,135.0
105,114.0
106,24.0
107,89.0
108,80.0
109,0.0
110,26.0
111,158.0
112,378.0
113,200.0
114,207.0
115,209.0
116,33.0
117,73.0
118,178.0
119,164.0
120,212.0
121,76.0
