BUURTCODE,total,tot_c
92,332,0.06922435362802336
81,332,0.06922435362802336
91,61,0.02592435189120272
90,61,0.02592435189120272
97,181,0.028955367141257397
95,403,0.022398843930635837
85,403,0.022398843930635837
86,403,0.022398843930635837
93,531,0.030706066038281386
94,531,0.030706066038281386
82,531,0.030706066038281386
6,531,0.030706066038281386
40,531,0.030706066038281386
30,474,0.025137887144675436
31,474,0.025137887144675436
35,474,0.025137887144675436
84,450,0.02991225737835682
96,521,0.017900089328660756
87,521,0.017900089328660756
98,521,0.017900089328660756
99,521,0.017900089328660756
88,620,0.03201983163765945
89,620,0.03201983163765945
80,620,0.03201983163765945
36,10,0.09523809523809523
20,552,0.025771511275036182
37,552,0.025771511275036182
38,552,0.025771511275036182
39,552,0.025771511275036182
104,965,0.04343911771325681
105,965,0.04343911771325681
101,965,0.04343911771325681
102,965,0.04343911771325681
103,965,0.04343911771325681
50,999,0.06759591311996752
51,999,0.06759591311996752
52,999,0.06759591311996752
9,562,0.10526315789473684
83,449,0.04559301380991064
53,449,0.04559301380991064
54,341,0.01864202930242729
55,341,0.01864202930242729
44,519,0.037516264276420415
10,519,0.037516264276420415
70,0,
71,283,0.03419526341227646
73,170,0.08487269096355467
74,170,0.08487269096355467
5,34,0.04398447606727038
1,555,0.03120782726045884
2,555,0.03120782726045884
3,555,0.03120782726045884
4,555,0.03120782726045884
72,555,0.03120782726045884
100,121,0.02055725450220863
7,638,0.045711829189653934
8,638,0.045711829189653934
41,190,0.35647279549718575
42,534,0.06790437436419125
43,534,0.06790437436419125
46,188,0.03045027534823453
45,378,0.03107530417625781
47,202,0.12712397734424166
62,218,0.017259124376533923
63,218,0.017259124376533923
18,218,0.017259124376533923
11,647,0.03252400341828784
12,647,0.03252400341828784
13,647,0.03252400341828784
14,647,0.03252400341828784
15,833,0.026468812557592706
16,833,0.026468812557592706
17,833,0.026468812557592706
32,341,0.020975579750261427
33,341,0.020975579750261427
34,341,0.020975579750261427
21,32,0.006082493822467212
19,880,0.02072587672813773
22,880,0.02072587672813773
23,880,0.02072587672813773
24,880,0.02072587672813773
25,880,0.02072587672813773
26,880,0.02072587672813773
60,65,0.02824858757062147
79,1141,0.08207452165156093
48,1141,0.08207452165156093
75,1141,0.08207452165156093
76,1141,0.08207452165156093
77,1141,0.08207452165156093
78,1141,0.08207452165156093
49,0,0.0
61,353,0.023890092041147806
67,353,0.023890092041147806
68,353,0.023890092041147806
69,353,0.023890092041147806
64,977,0.05737608644585389
65,977,0.05737608644585389
66,977,0.05737608644585389
110,140,0.5243445692883895
106,140,0.5243445692883895
107,140,0.5243445692883895
108,1529,0.05610803273274375
109,1529,0.05610803273274375
114,1529,0.05610803273274375
111,1529,0.05610803273274375
112,1529,0.05610803273274375
113,1529,0.05610803273274375
115,1529,0.05610803273274375
117,70,0.5691056910569106
116,70,0.5691056910569106
121,1222,0.05797789059164018
118,1222,0.05797789059164018
119,1222,0.05797789059164018
120,1222,0.05797789059164018
