Buurtcode,c_antilles,c_dutch,c_indonesian,c_morocco,c_eastern_europe,c_other_non_western,c_other_western,c_suriname,c_turkey
01,26,2242.0,70,15,96,155,248,45,22
02,37,2763.0,107,38,154,234,422,85,26
03,50,3623.0,212,23,183,486,809,83,26
04,40,2523.0,149,56,141,324,569,78,16
05,9,436.0,47,6,10,65,190,6,0
06,44,1327.0,91,51,54,227,150,80,61
07,90,5175.0,517,30,299,797,2632,153,40
08,47,3000.0,126,47,99,289,520,69,27
09,25,3866.0,337,0,88,191,757,59,14
10,216,2498.0,197,319,527,708,606,884,323
11,208,3310.0,281,465,294,1055,1012,402,277
12,37,1172.0,85,33,123,310,601,46,36
13,119,1166.0,130,229,120,697,411,270,78
14,313,2861.0,300,325,324,1276,838,507,182
15,335,1077.0,102,2658,965,2179,433,2438,4079
16,270,1145.0,82,2371,206,1525,326,1459,2623
17,242,473.0,34,1977,254,1205,164,1116,1733
18,903,1933.0,190,709,353,1705,937,694,502
19,275,756.0,85,517,186,1025,372,596,295
20,184,777.0,47,403,275,621,130,397,435
21,75,563.0,24,422,454,596,289,813,2025
22,362,1124.0,109,855,295,1087,291,860,1014
23,179,932.0,59,552,341,560,122,1008,617
24,301,2326.0,117,334,1788,1160,520,1233,406
25,418,3337.0,268,312,2719,1799,815,1330,405
26,529,1310.0,122,1325,1263,1449,435,1225,739
30,117,2830.0,154,199,970,498,412,592,347
31,113,1390.0,92,137,772,539,354,620,542
32,127,347.0,19,612,356,660,126,746,961
33,78,366.0,33,783,619,494,137,1043,1492
34,104,471.0,36,821,1027,903,602,1365,1929
35,178,2068.0,129,200,1792,862,695,904,1350
36,0,81.0,0,0,0,0,7,0,0
37,364,1513.0,96,897,402,1475,176,591,737
38,317,1799.0,103,591,941,1214,396,750,1020
39,282,1192.0,46,765,210,931,170,621,551
40,179,4509.0,225,317,380,551,388,481,275
41,5,297.0,41,0,30,54,102,0,0
42,19,1036.0,107,7,141,193,488,37,10
43,62,3434.0,317,20,212,449,1160,147,25
44,137,4129.0,245,160,492,640,1055,537,161
45,330,6190.0,477,431,382,1450,1992,635,280
46,67,3549.0,368,36,169,557,1301,99,28
47,8,762.0,103,10,52,181,446,13,14
48,7,923.0,96,7,49,152,361,19,7
49,0,245.0,21,0,23,62,95,0,0
50,13,1773.0,158,0,35,78,206,34,10
51,68,4445.0,403,24,189,364,772,190,50
52,61,3866.0,322,40,214,375,866,178,42
53,66,5380.0,387,18,148,343,661,164,58
54,163,3793.0,266,141,529,651,652,520,122
55,223,5270.0,390,314,1005,1115,1286,1513,339
60,227,656.0,50,312,81,484,104,250,134
61,180,2295.0,242,303,246,1029,431,352,136
62,78,250.0,17,19,103,195,106,75,12
63,220,1394.0,87,210,219,749,557,299,115
64,139,1001.0,79,221,162,882,530,327,103
65,52,2219.0,232,17,185,786,876,94,46
66,102,5385.0,394,39,378,1017,1461,221,80
67,109,1098.0,125,94,131,451,262,131,55
68,0,480.0,44,0,7,95,162,0,0
69,165,3090.0,335,186,318,1116,608,351,141
70,0,0.0,0,0,0,0,0,0,0
71,84,5184.0,364,65,313,746,1304,162,54
72,23,1106.0,71,5,43,114,199,29,18
73,7,588.0,69,0,22,66,159,12,0
74,12,701.0,73,0,31,69,182,7,0
75,14,1200.0,141,15,67,230,394,25,24
76,17,1596.0,242,5,87,194,364,19,8
77,32,2489.0,233,0,100,328,691,29,13
78,9,761.0,88,0,23,162,320,8,7
79,19,1407.0,126,0,71,237,461,16,5
80,227,1541.0,130,666,774,1019,246,680,915
81,0,272.0,32,0,0,25,28,7,0
82,55,2054.0,152,41,76,178,213,127,20
83,23,1948.0,147,9,68,114,243,57,14
84,288,9345.0,613,257,1033,1038,979,967,524
85,0,30.0,0,0,0,9,0,7,0
86,198,8306.0,436,538,474,869,685,875,524
87,296,2131.0,177,1281,598,1286,345,909,1732
88,165,2466.0,186,685,321,755,295,1224,1427
89,273,1944.0,135,477,361,991,221,602,637
90,10,517.0,26,12,15,70,99,33,5
91,7,1183.0,86,0,21,64,175,16,10
92,29,3240.0,320,9,87,190,460,74,16
93,17,1318.0,143,0,47,89,189,27,5
94,21,2325.0,187,11,90,209,237,67,5
95,60,3732.0,115,78,213,285,292,193,60
96,253,2076.0,153,1051,618,1071,286,697,1773
97,74,4376.0,231,58,157,405,575,267,108
98,483,2907.0,228,1529,786,1409,365,1303,1815
99,0,1149.0,39,20,83,70,109,42,32
100,41,4833.0,107,35,181,230,366,64,29
101,37,1197.0,131,114,35,158,118,228,151
102,125,4580.0,205,657,208,657,438,1113,914
103,38,2214.0,153,48,42,285,283,293,106
104,103,2215.0,117,372,100,379,181,485,328
105,67,1748.0,89,166,62,349,146,466,314
106,0,146.0,6,0,0,8,0,0,0
107,0,0.0,0,0,0,0,0,0,0
108,12,1330.0,90,0,33,186,299,71,11
109,0,0.0,0,0,0,0,0,0,0
110,0,0.0,0,0,0,95,0,0,0
111,53,819.0,49,89,52,220,109,280,128
112,162,3802.0,216,283,174,881,507,752,371
113,97,3134.0,173,115,181,635,341,727,203
114,124,2571.0,165,192,155,510,273,572,253
115,61,4091.0,153,138,99,320,437,376,175
116,0,81.0,0,0,0,0,9,0,0
117,0,26.0,0,0,0,0,0,0,0
118,147,3003.0,164,191,108,664,273,664,234
119,50,2497.0,144,138,62,490,226,457,144
120,108,5353.0,296,342,134,788,454,961,184
121,67,1523.0,80,189,66,302,140,326,108
