BUURTCODE,buurtname,houses,avg_household_size,avg_price,p_occupied,p_free,bought_houses,rented_houses,rent_corp,rent_private
1,Oud Scheveningen,1683,1.8,224.0,91.0,9.0,44.0,55.0,31.0,24.0
2,Vissershaven,2145,1.9,290.0,87.0,13.0,44.0,54.0,26.0,28.0
3,Scheveningen Badplaats,3293,1.8,292.0,82.0,18.0,56.0,42.0,9.0,33.0
4,Visserijbuurt,2198,1.9,270.0,89.0,11.0,41.0,58.0,27.0,31.0
5,Van Stolkpark en Scheveningse Bosjes,469,2.0,785.0,75.0,25.0,50.0,48.0,10.0,38.0
6,Waldeck-Zuid,1195,1.8,162.0,96.0,4.0,44.0,56.0,50.0,6.0
7,Statenkwartier,4880,2.1,525.0,83.0,17.0,60.0,35.0,3.0,32.0
8,Geuzenkwartier,2363,2.1,279.0,82.0,18.0,57.0,42.0,28.0,14.0
9,Vogelwijk,2126,2.6,667.0,92.0,8.0,89.0,11.0,2.0,8.0
10,Rond de Energiecentrale,3370,1.8,175.0,93.0,7.0,27.0,72.0,26.0,47.0
11,Kortenbos,4597,1.6,223.0,88.0,12.0,26.0,72.0,37.0,35.0
12,Voorhout,1676,1.4,430.0,72.0,28.0,29.0,69.0,9.0,59.0
13,Uilebomen,1908,1.7,272.0,90.0,10.0,23.0,76.0,41.0,35.0
14,Zuidwal,4398,1.5,185.0,90.0,10.0,14.0,85.0,49.0,36.0
15,Schildersbuurt-West,5574,2.3,143.0,95.0,5.0,24.0,75.0,58.0,17.0
16,Schildersbuurt-Noord,4239,2.3,133.0,97.0,3.0,15.0,85.0,75.0,10.0
17,Schildersbuurt-Oost,2632,2.5,144.0,98.0,2.0,15.0,85.0,79.0,6.0
18,Huygenspark,4595,1.5,144.0,95.0,5.0,8.0,87.0,67.0,21.0
19,Laakhaven-Oost,2170,1.7,157.0,97.0,3.0,17.0,83.0,73.0,10.0
20,Moerwijk-Oost,1728,1.8,113.0,90.0,10.0,9.0,91.0,74.0,18.0
21,Groente- en Fruitmarkt,1691,2.4,158.0,96.0,4.0,40.0,59.0,30.0,29.0
22,Laakhaven-West,3142,1.7,130.0,94.0,6.0,13.0,87.0,50.0,37.0
23,Spoorwijk,1615,2.4,171.0,98.0,2.0,35.0,65.0,56.0,9.0
24,Laakkwartier-West,3534,2.0,132.0,94.0,6.0,47.0,53.0,12.0,41.0
