year,dutch,turkey,morocco,suriname,antilles,eastern_eu,indonesian,other_western,other_nonwestern,young,middle,old,tot_eth,tot_age
2020,602.0,629.0,394.0,435.0,818.0,4414.0,0,1992.0,2674.0,3645.0,8460.0,126.0,11958.0,12231.0
2021,715.5,747.5,456.0,498.5,926.0,4996.0,0,2002.0,2949.0,3951.5,9509.0,159.5,13290.5,13620.0
2022,829.0,866.0,518.0,562.0,1034.0,5578.0,0,2012.0,3224.0,4258.0,10558.0,193.0,14623.0,15009.0
2023,1056.0,1103.0,642.0,689.0,1250.0,6742.0,0,2032.0,3774.0,4871.0,12656.0,260.0,17288.0,17787.0
2024,1169.5,1221.5,704.0,752.5,1358.0,7324.0,0,2042.0,4049.0,5177.5,13705.0,293.5,18620.5,19176.0
2025,1283.0,1340.0,766.0,816.0,1466.0,7906.0,0,2052.0,4324.0,5484.0,14754.0,327.0,19953.0,20565.0
2026,1510.0,1577.0,890.0,943.0,1682.0,9070.0,0,2072.0,4874.0,6097.0,16852.0,394.0,22618.0,23343.0
2027,1623.5,1695.5,952.0,1006.5,1790.0,9652.0,0,2082.0,5149.0,6403.5,17901.0,427.5,23950.5,24732.0
2028,1737.0,1814.0,1014.0,1070.0,1898.0,10234.0,0,2092.0,5424.0,6710.0,18950.0,461.0,25283.0,26121.0
2029,1964.0,2051.0,1138.0,1197.0,2114.0,11398.0,0,2112.0,5974.0,7323.0,21048.0,528.0,27948.0,28899.0
2030,2077.5,2169.5,1200.0,1260.5,2222.0,11980.0,0,2122.0,6249.0,7629.5,22097.0,561.5,29280.5,30288.0
