BUURTCODE,buurtname,men,women,a_young,a_old,c_western,c_morocco,c_antilles,c_suriname,c_turkey,c_nonwestern,a_middle
1,Oud Scheveningen,1430,1425,235,530,380,10,30,50,15,135,1720
2,Vissershaven,1615,1735,295,730,535,25,35,70,10,190,1810
3,Scheveningen Badplaats,2680,2700,530,905,1125,20,50,80,25,435,3170
4,Visserijbuurt,1800,2010,385,855,825,45,40,80,10,270,2015
5,Van Stolkpark en Scheveningse Bosjes,370,435,75,260,245,5,5,5,0,55,350
6,Waldeck-Zuid,920,1110,150,680,285,50,35,70,55,180,955
7,Statenkwartier,4545,4975,1035,1615,3250,20,90,145,40,700,5120
8,Geuzenkwartier,2085,2295,405,970,730,45,40,70,30,250,2330
9,Vogelwijk,2515,2710,550,1035,1105,5,25,60,10,180,2490
10,Rond de Energiecentrale,2875,2855,700,620,1095,295,205,855,290,590,3600
11,Kortenbos,3610,3510,885,865,1480,465,185,395,280,905,4510
12,Voorhout,1165,1085,315,335,765,20,30,30,25,270,1465
13,Uilebomen,1595,1440,240,360,600,205,105,270,70,575,2090
14,Zuidwal,3485,3270,980,710,1355,315,295,505,170,1175,4435
15,Schildersbuurt-West,7095,6940,2395,1225,1320,2760,330,2460,4050,2020,7560
16,Schildersbuurt-Noord,4870,5035,1545,1015,570,2320,265,1510,2630,1480,5275
17,Schildersbuurt-Oost,3545,3660,1240,655,395,2045,225,1195,1790,1100,3770
18,Huygenspark,3835,3845,2445,515,1455,655,740,675,510,1675,3805
19,Laakhaven-Oost,1960,2075,970,325,630,505,260,640,300,915,2155
20,Moerwijk-Oost,1700,1420,355,345,395,405,160,355,390,640,1815
21,Groente- en Fruitmarkt,2700,2515,905,330,690,410,90,880,1995,520,2885
22,Laakhaven-West,2590,2530,895,445,590,780,265,735,960,895,2865
23,Spoorwijk,2120,2165,625,290,440,540,160,1090,615,475,2425
24,Laakkwartier-West,4200,3785,1060,610,2100,345,310,1345,415,980,4845
25,Laakkwartier-Oost,5780,5255,1515,945,3265,330,440,1435,405,1550,6640
26,Noordpolderbuurt,4265,4050,1440,630,1610,1345,510,1295,780,1435,4725
30,Rustenburg,3150,2925,665,660,1325,200,130,605,350,460,3690
31,Oostbroek-Noord,2300,2180,560,325,1045,140,90,645,620,470,2770
32,Transvaalkwartier-Noord,1985,1980,615,385,495,600,120,765,1000,615,2235
33,Transvaalkwartier-Midden,2485,2490,620,565,730,760,80,1100,1475,460,2625
34,Transvaalkwartier-Zuid,3735,3495,1140,490,1460,835,125,1465,2050,820,4015
35,Oostbroek-Zuid,4120,3915,1165,480,2170,205,195,960,1490,805,4800
36,Zuiderpark,70,95,5,105,15,0,0,5,5,5,55
