BUURTCODE,total,tot_c
92,332,0.069
81,332,0.069
91,61,0.026
90,61,0.026
97,181,0.029
95,403,0.022
85,403,0.022
86,403,0.022
93,531,0.031
94,531,0.031
82,531,0.031
6,531,0.031
40,531,0.031
30,474,0.025
31,474,0.025
35,474,0.025
84,450,0.03
96,521,0.018
87,521,0.018
98,521,0.018
99,521,0.018
88,620,0.032
89,620,0.032
80,620,0.032
36,10,0.095
20,552,0.026
37,552,0.026
38,552,0.026
39,552,0.026
104,965,0.043
105,965,0.043
101,965,0.043
102,965,0.043
103,965,0.043
50,999,0.068
51,999,0.068
52,999,0.068
9,562,0.105
83,449,0.046
53,449,0.046
54,341,0.019
55,341,0.019
44,519,0.038
10,519,0.038
70,0,
71,283,0.034
73,170,0.085
74,170,0.085
5,34,0.044
1,555,0.031
2,555,0.031
3,555,0.031
4,555,0.031
72,555,0.031
100,121,0.021
7,638,0.046
8,638,0.046
41,190,0.356
42,534,0.068
43,534,0.068
46,188,0.03
45,378,0.031
47,202,0.127
62,218,0.017
63,218,0.017
18,218,0.017
11,647,0.033
12,647,0.033
13,647,0.033
14,647,0.033
15,833,0.026
16,833,0.026
17,833,0.026
32,341,0.021
33,341,0.021
34,341,0.021
21,32,0.006
19,880,0.021
22,880,0.021
23,880,0.021
24,880,0.021
25,880,0.021
26,880,0.021
60,65,0.028
79,1141,0.082
48,1141,0.082
75,1141,0.082
76,1141,0.082
77,1141,0.082
78,1141,0.082
49,0,0.0
61,353,0.024
67,353,0.024
68,353,0.024
69,353,0.024
64,977,0.057
65,977,0.057
66,977,0.057
110,140,0.524
106,140,0.524
107,140,0.524
108,1529,0.056
109,1529,0.056
114,1529,0.056
111,1529,0.056
112,1529,0.056
113,1529,0.056
115,1529,0.056
117,70,0.569
116,70,0.569
121,1222,0.058
118,1222,0.058
119,1222,0.058
120,1222,0.058
