BUURTCODE,e_low,e_middle,e_high,BUURTNAAM
1,33.5,36.8,29.8,Oud Scheveningen
2,30.2,49.6,20.2,Vissershaven
3,20.5,34.8,44.7,Scheveningen Badplaats
4,25.3,38.2,36.5,Visserijbuurt
5,13.5,12.7,73.8,Van Stolkpark en Scheveningse Bosjes
6,28.9,44.2,26.9,Waldeck-Zuid
7,9.3,24.9,65.9,Statenkwartier
8,25.2,33.0,41.8,Geuzenkwartier
9,12.9,27.6,59.5,Vogelwijk
10,31.3,31.8,36.9,Rond de Energiecentrale
11,26.5,32.8,40.6,Kortenbos
12,9.5,41.7,48.7,Voorhout
13,20.2,33.7,46.0,Uilebomen
14,27.9,31.0,41.1,Zuidwal
15,59.5,29.6,10.9,Schildersbuurt-West
16,58.6,30.4,11.0,Schildersbuurt-Noord
17,60.2,31.4,8.4,Schildersbuurt-Oost
18,29.1,42.4,28.5,Huygenspark
19,42.7,35.3,22.0,Laakhaven-Oost
20,49.8,39.6,10.6,Moerwijk-Oost
21,52.0,37.9,10.1,Groente- en Fruitmarkt
22,36.8,47.5,15.8,Laakhaven-West
23,47.0,39.0,14.0,Spoorwijk
24,52.7,34.3,13.0,Laakkwartier-West
25,40.7,44.5,14.8,Laakkwartier-Oost
26,45.9,41.9,12.2,Noordpolderbuurt
30,39.9,42.7,17.4,Rustenburg
31,51.8,29.7,18.5,Oostbroek-Noord
32,58.8,30.8,10.5,Transvaalkwartier-Noord
33,55.1,32.7,12.1,Transvaalkwartier-Midden
34,65.0,27.2,7.9,Transvaalkwartier-Zuid
35,44.6,39.1,16.3,Oostbroek-Zuid
36,63.2,29.3,7.5,Zuiderpark
37,55.6,35.4,9.0,Moerwijk-West
38,48.9,38.4,12.6,Moerwijk-Noord
39,42.7,34.3,23.0,Moerwijk-Zuid
40,36.9,42.6,20.5,Nieuw Waldeck
41,4.2,36.1,59.7,Zorgvliet
42,9.8,22.8,67.5,Stadhoudersplantsoen
43,7.9,19.4,72.7,Sweelinckplein e.o.
44,14.9,25.1,60.0,Koningsplein e.o.
45,18.9,30.1,50.9,Zeeheldenkwartier
46,11.3,25.3,63.4,Archipelbuurt
47,11.9,27.5,60.6,Willemspark
48,8.9,17.0,74.1,Nassaubuurt
49,9.4,21.9,68.7,Haagse Bos
50,13.4,32.8,53.8,Bloemenbuurt-West
51,19.0,36.8,44.1,Bloemenbuurt-Oost
52,20.2,36.9,42.8,Bomenbuurt
53,16.4,33.9,49.6,Vruchtenbuurt
54,26.8,40.0,33.2,Heesterbuurt
55,25.2,35.6,39.2,Valkenboskwartier
60,69.3,24.8,6.0,Binckhorst
61,38.0,35.4,26.6,Landen
62,53.2,26.0,20.8,Rivierenbuurt-Zuid
63,21.3,32.5,46.2,Rivierenbuurt-Noord
64,31.5,37.5,31.0,Bezuidenhout-West
65,8.1,23.3,68.6,Bezuidenhout-Midden
66,16.0,28.5,55.4,Bezuidenhout-Oost
67,17.1,58.5,24.4,Kampen
68,7.7,16.6,75.7,Marlot
69,31.3,37.3,31.3,Burgen en Horsten
70,30.426168224299076,34.45140186915888,35.11401869158879,0
71,17.1,37.5,45.4,Belgisch Park
72,21.8,40.2,38.0,Rijslag
73,10.9,26.6,62.5,Westbroekpark
74,14.2,24.3,61.5,Duttendel
75,5.6,18.6,75.8,Uilennest
76,19.9,20.5,59.5,Duinzigt
77,7.8,29.4,62.8,Waalsdorp
78,14.8,17.2,68.0,Arendsdorp
79,10.1,26.2,63.7,Van Hoytemastraat e.o.
80,54.1,34.7,11.2,Morgenstond-Zuid
81,11.3,42.8,45.8,Bosjes van Pex
82,29.4,44.3,26.3,Rosenburg
83,18.6,40.8,40.6,Eykenduinen
84,32.5,46.1,21.4,Leyenburg
85,76.5,23.5,0.0,Kerketuinen en Zichtenburg
86,28.5,44.1,27.4,Houtwijk
87,56.3,32.5,11.2,"Venen, Oorden en Raden"
88,39.6,38.9,21.4,Morgenstond-West
89,42.4,44.3,13.3,Morgenstond-Oost
90,33.5,24.0,42.5,Ockenburgh
91,18.3,34.1,47.6,Kijkduin
92,14.0,37.9,48.1,Bohemen en Meer en Bos
93,11.3,41.9,46.8,Componistenbuurt
94,23.3,41.5,35.2,Waldeck-Noord
95,42.6,38.7,18.7,Kom Loosduinen
96,49.4,36.8,13.8,"Zijden, Steden en Zichten"
97,21.3,44.8,34.0,Kraayenstein en Vroondaal
98,51.9,36.6,11.5,Dreven en Gaarden
99,43.8,27.4,28.8,De Uithof
100,43.2,38.7,18.1,Duindorp
101,36.9,37.3,25.7,Erasmus Veld
102,30.3,38.8,30.9,Hoge Veld
103,20.0,34.2,45.8,Parkbuurt Oosteinde
104,38.7,39.8,21.5,Lage Veld
105,31.7,41.8,26.5,Zonne Veld
106,30.426168224299076,34.45140186915888,35.11401869158879,0
107,30.426168224299076,34.45140186915888,35.11401869158878,0
108,15.7,37.6,46.7,Bosweide
109,30.42616822429908,34.45140186915888,35.11401869158878,0
110,30.42616822429908,34.45140186915888,35.11401869158878,0
111,30.5,36.0,33.5,De Venen
112,29.6,39.0,31.4,Morgenweide
113,24.5,50.5,25.0,Singels
114,32.7,41.2,26.1,Waterbuurt
115,30.6,33.0,36.4,De Bras
116,30.42616822429908,34.45140186915888,35.11401869158878,0
117,30.42616822429908,34.45140186915888,35.11401869158878,0
118,28.6,39.9,31.4,De Lanen
119,25.4,32.5,42.1,De Velden
120,26.4,39.8,33.8,De Vissen
121,26.1,39.6,34.2,Rietbuurt
