Buurtcode,c_antilles,c_dutch,c_indonesian,c_morocco,c_eastern_europe,c_other_non_western,c_other_western,c_suriname,c_turkey
1,29,2236,81,12,74,133,226,49,19
2,35,2477,92,26,117,199,325,72,12
3,48,3638,214,22,166,461,754,85,31
4,42,2535,140,41,135,282,549,80,13
5,5,482,49,7,11,56,190,7,0
6,34,1355,87,49,58,182,141,69,58
7,84,5261,520,21,251,719,2483,145,42
8,41,3222,139,46,90,253,501,72,31
9,27,3834,364,0,69,181,677,62,15
10,209,2405,182,296,433,619,456,849,298
11,184,3394,282,462,283,947,902,394,286
12,33,1095,88,23,109,279,577,35,27
13,105,1200,133,210,103,588,352,274,74
14,306,2934,318,312,278,1194,753,502,179
15,338,1084,95,2728,809,2086,386,2433,4079
16,268,1115,85,2319,198,1500,274,1508,2652
17,230,458,36,2050,208,1110,133,1189,1811
18,750,1965,197,658,332,1739,886,673,522
19,270,790,101,496,185,928,345,643,303
20,160,778,47,405,211,640,126,361,400
21,88,583,24,409,383,543,246,879,2004
22,264,887,89,766,271,928,214,731,971
23,168,959,57,531,270,502,109,1076,627
24,303,2487,126,352,1470,1030,478,1349,420
25,463,3610,261,323,2256,1632,706,1434,414
26,506,1332,130,1350,1107,1482,343,1302,797
30,128,3010,171,198,775,472,378,611,360
31,97,1468,85,137,675,486,283,650,620
32,124,364,21,594,355,620,111,775,1008
33,83,372,33,764,531,479,142,1091,1490
34,127,475,37,828,832,907,538,1438,2078
35,204,2243,146,206,1359,861,630,955,1522
36,0,99,0,0,0,0,7,0,0
37,327,1659,112,882,348,1391,171,591,696
38,280,1962,129,574,796,1100,370,766,1017
39,222,1222,50,672,182,782,139,552,465
40,162,4693,231,308,284,492,381,469,254
41,5,284,43,0,21,48,89,0,0
42,16,1072,112,0,105,162,368,40,12
43,64,3501,326,18,183,390,1108,158,25
44,130,4192,257,172,394,620,957,586,174
45,275,6225,511,430,319,1283,1786,606,253
46,53,3499,368,19,141,512,1226,97,30
47,14,762,100,8,43,160,395,7,14
48,7,916,105,6,31,153,359,21,0
49,0,221,23,0,19,41,109,0,0
50,12,1798,163,0,26,86,187,33,10
51,53,4532,424,32,180,280,709,189,50
52,59,3860,349,38,177,338,782,194,44
53,73,5261,389,18,131,337,630,158,46
54,148,3901,277,157,446,618,561,517,129
55,215,5360,423,301,917,1105,1184,1651,376
60,197,454,35,227,39,318,71,187,108
61,146,2225,223,221,161,894,380,286,103
62,78,229,12,22,100,145,136,70,15
63,207,1483,95,201,203,721,474,340,119
64,141,1071,80,218,158,800,527,327,112
65,39,2154,223,16,166,568,769,78,35
66,124,5561,433,45,348,907,1278,267,74
67,98,1130,126,87,99,440,221,126,50
68,5,482,46,0,7,85,152,0,0
69,152,3234,341,164,282,1099,552,324,156
70,0,0,0,0,0,0,0,0,0
71,69,5264,380,70,289,619,1291,149,41
72,12,1141,91,9,46,100,216,37,12
73,7,543,61,0,14,57,146,13,0
74,7,687,70,0,23,66,198,0,0
75,18,1216,150,13,61,231,363,19,23
76,17,1606,248,7,69,192,355,23,8
77,31,2370,257,0,100,314,667,30,5
78,8,743,83,0,25,172,276,8,0
79,18,1427,111,0,57,212,455,20,5
80,204,1602,141,616,637,917,214,629,916
81,0,288,37,0,6,29,28,7,0
82,50,2130,159,38,69,164,202,130,29
83,26,2034,164,8,66,85,209,63,14
84,236,9617,669,261,838,872,911,931,529
85,0,24,0,0,0,5,0,7,0
86,183,8364,460,437,381,770,645,855,506
87,287,2272,186,1248,496,1147,307,864,1640
88,159,2689,216,595,256,660,270,1177,1274
89,261,2008,138,461,313,955,212,585,565
90,7,513,21,0,8,42,100,27,5
91,11,1164,87,0,19,50,186,16,11
92,30,3290,330,6,84,176,411,74,15
93,17,1331,156,0,41,79,167,31,0
94,16,2285,207,11,76,211,232,61,0
95,50,3794,127,61,168,226,267,184,55
96,249,2216,162,1062,556,887,267,688,1667
97,69,3774,217,57,110,295,447,208,77
98,469,3143,240,1460,689,1258,354,1281,1805
99,0,1024,37,7,84,37,102,19,21
100,37,4958,102,27,139,215,336,71,23
101,36,1234,125,105,33,126,100,227,119
102,134,4551,210,585,164,556,362,1077,754
103,28,2302,161,30,32,231,275,282,87
104,92,2355,119,316,83,353,187,476,290
105,63,1893,95,137,46,304,141,459,288
106,0,151,5,0,0,9,7,0,0
107,0,0,0,0,0,0,0,0,0
108,13,1350,93,0,32,178,289,62,10
109,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0
111,52,831,61,81,54,183,99,270,104
112,151,3925,226,284,171,843,482,746,331
113,94,3301,169,126,174,520,343,688,192
114,112,2625,167,190,126,455,280,572,240
115,75,4168,163,116,83,314,419,388,175
116,0,105,0,0,0,0,9,0,0
117,0,25,0,0,0,0,0,0,0
118,141,3030,168,164,85,554,248,625,213
119,47,2627,151,142,55,370,245,456,139
120,118,5429,303,305,116,703,419,982,168
121,61,1555,70,170,58,220,127,333,106
