"Buurten";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|0 t/m 9 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|10 t/m 19 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|20 t/m 29 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|30 t/m 39 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|40 t/m 49 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|50 t/m 59 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|60 t/m 69 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|70 t/m 79 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|80 t/m 89 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|90 t/m 99 jaar|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|100 jaar en ouder|2019"
"01 Oud Scheveningen";284;225;314;499;443;425;366;246;98;19;""
"02 Vissershaven";443;345;401;554;552;516;473;333;183;61;5
"03 Scheveningen Badplaats";552;424;748;933;858;703;646;458;153;20;""
"04 Visserijbuurt";391;373;449;542;544;499;463;382;198;54;"x"
"05 v Stolkpark/Schev Bosjes";54;113;39;64;95;114;90;106;51;44;"x"
"06 Waldeck-Zuid";184;174;164;189;221;277;343;324;184;25;""
"07 Statenkwartier";1068;1335;954;1082;1588;1473;1050;812;296;73;"x"
"08 Geuzenkwartier";472;440;400;587;636;577;507;400;179;26;""
"09 Vogelwijk";659;973;230;315;842;887;712;496;189;35;"x"
"10 Rond de Energiecentrale";595;481;1355;1285;887;681;561;292;115;26;""
"11 Kortenbos";572;543;1591;1300;946;973;773;460;128;17;"x"
"12 Voorhout";118;97;650;517;304;286;214;194;54;9;""
"13 Uilebomen";290;229;538;745;449;382;357;183;42;5;""
"14 Zuidwal";445;439;1773;1397;921;832;655;348;102;14;""
"15 Schildersbuurt-West";1839;2077;2298;2144;1982;1862;1227;619;205;13;""
"16 Schildersbuurt-Noord";1307;1485;1491;1311;1302;1355;1069;529;139;19;""
"17 Schildersbuurt-Oost";935;1165;1089;917;928;1034;697;332;82;17;"x"
"18 Huygenspark";646;833;3114;1067;784;648;483;248;93;10;""
"19 Laakhaven-Oost";429;532;1089;597;473;451;303;172;55;6;""
"20 Moerwijk-Oost";510;276;509;621;459;375;261;120;86;52;""
"21 Groente- en Fruitmarkt";752;771;899;872;735;648;380;159;41;"x";""
"22 Laakhaven-West";703;662;1500;991;695;715;439;206;77;8;"x"
"23 Spoorwijk";619;642;643;637;677;625;321;147;54;5;""
"24 Laakkwartier-West";968;886;1603;1574;1235;1006;544;262;90;17;""
"25 Laakkwartier-Oost";1358;1150;2371;2240;1692;1216;767;421;164;23;"x"
"26 Noordpolderbuurt";1012;1020;1752;1396;1192;990;618;320;89;8;""
"30 Rustenburg";696;603;1022;1208;922;761;435;345;108;19;""
"31 Oostbroek-Noord";585;414;893;952;694;538;267;159;49;7;"x"
"32 Transvaalkwartier-Noord";501;482;708;633;501;533;345;193;53;5;""
"33 Transvaalkwartier-Midden";768;663;734;871;658;544;380;265;143;18;"x"
"34 Transvaalkwartier-Zuid";968;1076;1233;1150;1129;908;466;246;79;"x";""
"35 Oostbroek-Zuid";1132;847;1590;1617;1251;946;463;258;67;7;""
"36 Zuiderpark";"";"x";"";"";"x";8;29;35;25;6;""
"37 Moerwijk-West";995;680;749;1013;890;812;554;341;181;36;""
"38 Moerwijk-Noord";968;852;1086;1209;1117;878;540;329;125;27;""
"39 Moerwijk-Zuid";846;406;992;911;611;426;292;189;74;21;""
"40 Nieuw Waldeck";849;800;721;963;947;978;1022;671;277;72;5
"41 Zorgvliet";55;32;37;47;69;61;92;99;33;8;""
"42 Stadhoudersplantsoen";229;155;251;339;307;223;236;206;80;12;""
"43 Sweelinckplein eo";665;597;872;961;926;808;592;307;79;19;""
"44 Koningsplein eo";788;586;1559;1534;1106;852;668;345;99;19;""
"45 Zeeheldenkwartier";1034;973;2675;2288;1698;1510;1174;610;175;29;"x"
"46 Archipelbuurt";548;622;654;736;851;970;861;692;190;47;"x"
"47 Willemspark";135;93;237;300;240;214;173;148;39;10;""
"48 Nassaubuurt";203;189;147;209;222;221;185;166;60;19;""
"49 Haagse Bos";18;13;42;81;45;43;62;56;66;29;""
"50 Bloemenbuurt-West";216;281;123;191;320;393;343;230;142;70;"x"
"51 Bloemenbuurt-Oost";780;583;593;941;1040;902;764;592;253;56;"x"
"52 Bomenbuurt";659;546;659;858;925;761;704;528;267;57;""
"53 Vruchtenbuurt";919;843;679;994;1161;1022;825;485;229;67;"x"
"54 Heesterbuurt";794;588;1157;1339;1057;842;600;334;108;17;"x"
"55 Valkenboskwartier";1126;1035;2221;2234;1794;1381;906;529;193;34;"x"
"60 Binckhorst";75;53;777;605;402;286;85;13;"x";"";""
"61 Landen";619;404;739;887;683;589;506;429;270;85;"x"
"62 Rivierenbuurt-Zuid";42;68;317;169;101;77;49;27;"x";"x";""
"63 Rivierenbuurt-Noord";450;287;794;775;577;420;323;171;46;7;""
"64 Bezuidenhout-West";337;596;719;539;390;375;289;142;51;5;"x"
"65 Bezuidenhout-Midden";583;398;711;873;709;517;345;273;86;12;""
"66 Bezuidenhout-Oost";881;485;1656;2069;1389;999;767;546;247;38;""
"67 Kampen";254;179;306;458;366;274;272;238;92;16;"x"
"68 Marlot";95;133;47;56;127;105;114;86;31;"x";""
"69 Burgen en Horsten";637;412;726;986;833;768;712;679;426;130;"x"
"70 Oostduinen";"";"";"";"";"";"";"";"";"";"";""
"71 Belgisch Park";819;986;1019;885;1190;1176;994;818;307;80;"x"
"72 Rijslag";146;156;197;197;222;213;175;171;101;29;"x"
"73 Westbroekpark";53;91;55;39;80;119;147;208;114;21;""
"74 Duttendel";79;129;63;57;116;176;154;156;89;53;"x"
"75 Uilennest";209;155;157;269;353;265;250;263;139;49;"x"
"76 Duinzigt";151;174;139;166;207;244;313;484;420;227;7
"77 Waalsdorp";570;597;228;366;646;516;448;374;144;27;""
"78 Arendsdorp";184;185;81;131;212;159;155;121;91;58;"x"
"79 v Hoytemastraat eo";398;277;163;332;421;286;221;165;70;12;""
"80 Morgenstond-Zuid";914;585;931;1161;907;775;469;298;134;23;"x"
"81 Bosjes van Pex";22;41;31;26;47;92;61;35;8;8;""
"82 Rosenburg";209;151;280;305;298;361;486;478;268;76;"x"
"83 Eykenduynen";268;245;282;397;379;407;348;212;74;11;""
"84 Leyenburg";1521;1336;2215;2318;2048;2012;1605;1153;635;196;5
"85 Kerketuinen/Zichtenburg";"";"x";"x";15;18;16;"x";"x";"";"";""
"86 Houtwijk";1395;1466;1293;1557;1602;1872;2040;1125;435;119;"x"
"87 Venen/Oorden/Raden";1293;1115;1124;1427;1256;1011;732;479;237;78;"x"
"88 Morgenstond-West";1095;800;947;1236;1065;894;734;476;232;45;""
"89 Morgenstond-Oost";752;431;893;1008;799;706;527;332;161;32;""
"90 Ockenburgh";37;154;76;77;96;132;129;74;11;"x";""
"91 Kijkduin";86;151;86;83;164;234;269;318;148;27;""
"92 Bohemen/Meer en Bos";246;296;312;381;437;647;796;732;434;138;6
"93 Componistenbuurt";132;146;133;157;218;260;308;311;145;25;""
"94 Waldeck-Noord";106;116;195;237;236;340;490;754;530;146;"x"
"95 Kom Loosduinen";427;348;515;593;542;669;726;595;466;144;"x"
"96 Zijden/Steden/Zichten";1181;904;1098;1298;1082;980;722;488;187;37;"x"
"97 Kraayenstein & Vroondaal";731;660;513;914;944;976;812;480;190;31;""
