"Buurten";"Verhouding b.v.o. winkels/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. horeca/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. hotels/pensions/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. uitgaanvoorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. culturele voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. attracties/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. sportvoorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. recreatieve voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. medische voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. bijzondere voorzieningen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. scholen/ totale gebiedsoppervlakte|2010";"Verhouding b.v.o. kerken en gebedsruimte/ totale gebiedsoppervlakte|2010"
"01 Oud Scheveningen";0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,03;0,01;0,00
"02 Vissershaven";0,02;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
"03 Scheveningen Badplaats";0,02;0,02;0,07;0,02;0,04;0,00;0,01;0,01;0,00;0,01;0,00;0,00
"04 Visserijbuurt";0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,00;0,01
"05 v Stolkpark/Schev Bosjes";0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,00;0,01;0,00;0,01;0,00
"06 Waldeck-Zuid";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01
"07 Statenkwartier";0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,01;0,00
"08 Geuzenkwartier";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"09 Vogelwijk";0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;0,01;0,00
"10 Rond de Energiecentrale";0,03;0,00;0,00;0,00;0,00;0,00;0,05;0,01;0,01;0,00;0,01;0,00
"11 Kortenbos";0,11;0,03;0,03;0,00;0,01;0,00;0,00;0,01;0,17;0,01;0,01;0,01
"12 Voorhout";0,17;0,05;0,03;0,01;0,04;0,00;0,00;0,03;0,00;0,00;0,04;0,01
"13 Uilebomen";0,09;0,04;0,04;0,01;0,13;0,00;0,01;0,01;0,01;0,00;0,00;0,00
"14 Zuidwal";0,47;0,05;0,00;0,05;0,02;0,00;0,02;0,01;0,00;0,00;0,06;0,01
"15 Schildersbuurt-West";0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00;0,04;0,01
"16 Schildersbuurt-Noord";0,02;0,00;0,00;0,00;0,01;0,00;0,02;0,01;0,01;0,00;0,04;0,00
"17 Schildersbuurt-Oost";0,01;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,03;0,01;0,02;0,00
"18 Huygenspark";0,04;0,01;0,00;0,00;0,00;0,00;0,00;0,01;0,02;0,00;0,00;0,00
"19 Laakhaven-Oost";0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,23;0,00
"20 Moerwijk-Oost";0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,01;0,00
"21 Groente- en Fruitmarkt";0,02;0,00;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
"22 Laakhaven-West";0,23;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,01;0,01;0,01;0,00
"23 Spoorwijk";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,01;0,00
"24 Laakkwartier-West";0,03;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,01;0,00;0,02;0,00
"25 Laakkwartier-Oost";0,02;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,01;0,00
