"Buurten";"Overlast jeugd|2018";"Overlast drugs|2018";"Overlast personen|2018";"Overlast geluid|2018";"Overlast conflictbemiddeling|2018";"Fietsendiefstal|2018";"Diefstal van brom- en snorfietsen|2018";"Diefstal van motorvoertuigen|2018";"Diefstal uit/vanaf voertuigen|2018";"Winkeldiefstal|2018";"Diefstal uit bedrijven en instellingen|2018";"Diefstal uit woningen|2018";"Zakkenrollerij|2018";"Bedreiging|2018";"Mishandeling|2018";"Straatroven|2018";"Vernieling|2018";"Overvallen|2018";"Totaal|2018"
"01 Oud Scheveningen";19;5;26;70;30;15;5;"x";6;"x";"";"x";"x";10;6;"";10;"x";211
"02 Vissershaven";42;"x";85;52;79;50;9;"x";14;17;7;7;5;"x";26;"x";36;"";440
"03 Scheveningen Badplaats";44;6;127;131;85;44;9;"x";25;"x";18;10;18;21;35;"";41;"";619
"04 Visserijbuurt";19;"x";71;41;46;22;8;"x";"x";17;"x";6;5;15;16;"";18;"";291
"05 v Stolkpark/Schev Bosjes";9;"";33;8;9;"x";"x";"";6;"x";"";"x";"x";"x";5;"x";5;"";85
"06 Waldeck-Zuid";8;"x";13;14;13;"x";"x";"x";"x";"";"";"";"";"x";10;"";5;"";76
"07 Statenkwartier";21;"";49;65;35;35;9;22;22;10;10;27;7;8;10;"x";20;"";351
"08 Geuzenkwartier";31;"x";51;58;37;16;5;"x";5;"x";"x";5;"x";6;8;"";20;"";253
"09 Vogelwijk";74;"";53;55;22;11;"x";8;30;"";"x";49;"";5;14;"";28;"";355
"10 Rond de Energiecentrale";43;5;98;133;123;47;17;5;16;"";8;23;"x";18;22;11;67;"x";641
"11 Kortenbos";82;"x";257;182;171;124;17;6;33;47;22;19;41;45;65;"x";129;"x";1248
"12 Voorhout";19;"x";146;98;105;45;6;6;6;47;26;8;46;353;47;"x";49;"x";1011
"13 Uilebomen";55;"x";218;87;140;74;6;"x";16;148;20;"x";57;16;64;9;38;"";954
"14 Zuidwal";79;22;665;292;380;210;21;5;34;584;49;25;128;70;142;25;174;"x";2907
"15 Schildersbuurt-West";53;5;186;166;273;39;38;9;59;"";13;55;18;48;80;11;115;"";1168
"16 Schildersbuurt-Noord";94;6;153;156;240;59;38;10;50;"x";10;42;"x";38;64;13;83;"x";1062
"17 Schildersbuurt-Oost";41;"x";97;74;150;14;16;"x";24;"";6;19;"x";37;31;"x";65;"x";583
"18 Huygenspark";25;9;275;144;168;172;23;5;21;72;14;20;39;43;66;6;62;"";1164
"19 Laakhaven-Oost";25;"x";104;80;65;65;14;"x";30;66;12;15;6;17;13;"x";23;"";541
"20 Moerwijk-Oost";30;7;69;107;120;8;10;"x";16;20;5;16;7;21;21;"";21;"";482
"21 Groente- en Fruitmarkt";24;"x";53;50;87;11;18;6;38;"x";9;13;"x";20;25;"x";29;"";390
"22 Laakhaven-West";41;"x";89;83;123;37;26;5;45;30;29;11;5;42;31;"x";53;"";655
"23 Spoorwijk";22;"x";29;40;83;23;21;11;19;"";"x";18;"";10;22;"x";33;"";338
"24 Laakkwartier-West";35;10;95;153;173;29;24;6;20;21;6;16;5;17;47;7;58;"x";726
