"Wijken";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2019";"Aantal kindplaatsen buitenschoolse kinderopvang|2019";"Aantal inwoners per 1-1|2019"
"14 Bohemen, Meer en Bos";69;263;4796
"15 Kijkduin en Ockenburgh";"x";61;2353
"16 Kraayenstein en Vroondaal";81;100;6251
"17 Loosduinen";143;260;17992
"18 Waldeck";239;292;17293
"31 Rustenburg en Oostbroek";320;154;18856
"32 Leyenburg";212;238;15044
"33 Bouwlust/Vrederust";367;154;29106
"34 Morgenstond";442;178;19363
"35 Zuiderpark";"x";10;105
"36 Moerwijk";372;180;21419
"40 Wateringse Veld";424;541;22215
"12 Bomen- en Bloemenbuurt";390;609;14779
"13 Vogelwijk";175;387;5339
"19 Vruchtenbuurt";328;121;9848
"20 Valkenboskwartier";250;91;18292
"21 Regentessekwartier";373;146;13834
"01 Oostduinen";"x";0;""
"02 Belgisch Park";144;139;8276
"03 Westbroekpark/Duttendel";"x";170;2003
"06 Van Stolkpark en Schev. Bos";"x";34;773
"07 Scheveningen";278;277;17784
"08 Duindorp";104;17;5886
"09 Geuzen- en Statenkwartier";282;356;13957
"10 Zorgvliet";"x";190;533
"11 Duinoord";229;305;7864
"05 Archipelbuurt";129;59;6174
"22 Zeeheldenkwartier";283;95;12164
"23 Willemspark";"x";202;1589
"27 Stationsbuurt";112;106;12631
"28 Centrum";455;192;19893
"29 Schildersbuurt";571;262;31471
"30 Transvaalkwartier";221;120;16257
"37 Groente- en Fruitmarkt";32;0;5261
"38 Laakkwartier en Spoorwijk";613;267;42459
"39 Binckhorst";"x";65;2301
"04 Benoordenhout";539;602;13902
"24 Haagse Bos";"x";0;455
"25 Mariahoeve en Marlot";199;154;14776
"26 Bezuidenhout";596;381;17028
"41 Hoornwijck";"x";140;267
"42 Ypenburg";732;797;27251
"43 Forepark";"x";70;123
"44 Leidschenveen";485;737;21077
