"Wijken";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2000";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2001";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2002";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2003";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2004";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2005";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2006";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2007";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2008";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2010";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2011";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2012";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2013";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2014";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2015";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2016";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2017";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2018";"Aantal kindplaatsen kinderopvang (dagopvang & vm. peuterspeelzalen)|2019";"Aantal kindplaatsen buitenschoolse kinderopvang|2000";"Aantal kindplaatsen buitenschoolse kinderopvang|2001";"Aantal kindplaatsen buitenschoolse kinderopvang|2002";"Aantal kindplaatsen buitenschoolse kinderopvang|2003";"Aantal kindplaatsen buitenschoolse kinderopvang|2004";"Aantal kindplaatsen buitenschoolse kinderopvang|2005";"Aantal kindplaatsen buitenschoolse kinderopvang|2006";"Aantal kindplaatsen buitenschoolse kinderopvang|2007";"Aantal kindplaatsen buitenschoolse kinderopvang|2008";"Aantal kindplaatsen buitenschoolse kinderopvang|2010";"Aantal kindplaatsen buitenschoolse kinderopvang|2011";"Aantal kindplaatsen buitenschoolse kinderopvang|2012";"Aantal kindplaatsen buitenschoolse kinderopvang|2013";"Aantal kindplaatsen buitenschoolse kinderopvang|2014";"Aantal kindplaatsen buitenschoolse kinderopvang|2015";"Aantal kindplaatsen buitenschoolse kinderopvang|2016";"Aantal kindplaatsen buitenschoolse kinderopvang|2017";"Aantal kindplaatsen buitenschoolse kinderopvang|2018";"Aantal kindplaatsen buitenschoolse kinderopvang|2019"
"14 Bohemen, Meer en Bos";"";"";"";"";"";"";"";62;62;47;47;62;62;78;62;63;65;69;69;18;36;36;36;36;38;36;38;98;138;118;130;150;190;196;196;196;196;263
"15 Kijkduin en Ockenburgh";"";"";"";"";"";"";"";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";0;0;0;0;0;0;0;0;44;59;59;59;69;69;69;69;41;41;61
"16 Kraayenstein en Vroondaal";"";"";"";"";"";"";"";71;71;71;71;71;71;47;35;35;37;37;81;0;0;0;0;0;0;0;0;0;30;30;30;50;0;0;0;0;0;100
"17 Loosduinen";"";"";"";"";"";"";"";106;120;121;121;175;155;133;133;145;133;133;143;54;36;72;99;99;76;76;76;136;176;186;186;146;146;146;168;198;200;260
"18 Waldeck";"";"";"";"";"";"";"";223;208;226;268;283;277;262;267;225;221;237;239;30;63;63;72;72;76;76;71;128;148;168;178;218;238;244;223;243;263;292
"31 Rustenburg en Oostbroek";"";"";"";"";"";"";"";280;296;282;333;354;365;335;316;348;296;312;320;62;62;62;80;90;90;97;70;70;75;75;85;85;75;55;75;68;152;154
"32 Leyenburg";"";"";"";"";"";"";"";186;201;250;250;250;239;239;245;252;289;252;212;45;45;63;63;132;136;137;147;177;247;207;217;227;207;207;217;224;230;238
"33 Bouwlust/Vrederust";"";"";"";"";"";"";"";338;340;405;404;396;443;415;405;333;375;367;367;45;27;63;90;137;110;121;133;157;203;203;198;168;148;107;117;148;144;154
"34 Morgenstond";"";"";"";"";"";"";"";226;250;343;310;348;365;395;362;394;358;420;442;90;108;108;108;111;117;117;144;257;165;167;167;160;150;150;150;218;200;178
"35 Zuiderpark";"";"";"";"";"";"";"";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";"x";0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;10
"36 Moerwijk";"";"";"";"";"";"";"";272;317;310;328;329;345;348;329;343;418;402;372;135;135;135;135;137;141;163;163;213;213;239;219;179;168;168;188;175;175;180
"40 Wateringse Veld";"";"";"";"";"";"";"";313;406;406;441;472;511;513;491;437;382;394;424;72;72;72;144;260;235;299;299;355;557;507;667;619;601;601;585;527;527;541
"12 Bomen- en Bloemenbuurt";"";"";"";"";"";"";"";122;145;167;154;162;198;233;316;288;362;345;390;18;18;54;72;75;75;85;85;105;185;315;369;353;345;384;403;603;562;609
"13 Vogelwijk";"";"";"";"";"";"";"";97;157;152;161;161;130;147;169;169;169;169;175;45;45;81;81;85;85;107;137;187;267;267;287;300;323;290;290;300;349;387
