Wijk;Wijkcode;Buurt;Buurtcode;bevolking;dekkingsgraad;Laag;RSF_Laag;Middelbaar;RSF_Middelbaar;Hoog;RSF_Hoog
;;;;405985;68;32,7;1,5;35,8;1,2;31,4;1,7
Wijk 01 Oostduinen                                ;01;;;0;0;0;0;0;0;0;0
;01;Oostduinen                                        ;70;0;0;0;0;0;0;0;0
Wijk 02 Belgisch Park                             ;02;;;6295;60,5;17,1;7,3;37,5;6,3;45,4;5,6
;02;Belgisch Park                                     ;71;6295;60,5;17,1;7,3;37,5;6,3;45,4;5,6
Wijk 03 Westbroekpark en Duttendel                ;03;;;1320;49,4;12,9;15,7;25,2;12,5;61,9;6,2
;03;Westbroekpark                                     ;73;595;46,5;10,9;12,3;26,6;14,1;62,5;6,5
;03;Duttendel                                         ;74;725;51,8;14,2;22,5;24,3;19,3;61,5;9,4
Wijk 04 Benoordenhout                             ;04;;;9165;58,6;10,4;11,4;23,1;13,9;66,5;4,5
;04;Nassaubuurt                                       ;48;1185;58,7;8,9;24,4;17;16,8;74,1;5,1
;04;Uilennest                                         ;75;1475;57;5,6;24;18,6;16,1;75,8;4,9
;04;Duinzigt                                          ;76;1400;50,7;19,9;25,3;20,5;13,2;59,5;8,1
;04;Waalsdorp                                         ;77;2620;61,3;7,8;15,4;29,4;29,8;62,8;12,6
;04;Arendsdorp                                        ;78;850;57,8;14,8;33,5;17,2;20,2;68;7,3
;04;Van Hoytemastraat en omgeving                     ;79;1635;63;10,1;13,5;26,2;16,8;63,7;6,3
Wijk 05 Archipelbuurt                             ;05;;;4770;56,3;11,3;11,8;25,3;6,7;63,4;3
;05;Archipelbuurt                                     ;46;4770;56,3;11,3;11,8;25,3;6,7;63,4;3
Wijk 06 Van Stolkpark en Scheveningse Bo          ;06;;;520;48,5;13,5;14,5;12,7;14,5;73,8;5,2
;06;Van Stolkpark en Scheveningse Bosjes              ;05;520;48,5;13,5;14,5;12,7;14,5;73,8;5,2
Wijk 07 Scheveningen                              ;07;;;13255;62,8;26,2;4,9;39,7;4,5;34,1;3,6
;07;Oud Scheveningen                                  ;01;2310;64,2;33,5;9,2;36,8;7,5;29,8;7,9
;07;Vissershaven                                      ;02;2590;63,8;30,2;13,4;49,6;11,5;20,2;11,9
;07;Scheveningen Badplaats                            ;03;4285;62,2;20,5;7,1;34,8;5;44,7;3,4
;07;Visserijbuurt                                     ;04;2870;62,2;25,3;7,1;38,2;6,4;36,5;6,5
