"Buurten";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Antilliaans|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Autochtoon|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Indonesisch|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Marokkaans|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Oost-Europees|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Overig niet-Westers allochtoon|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Overig Westers allochtoon|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Surinaams|2019";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Turks|2019"
"01 Oud Scheveningen";26;2242;70;15;96;155;248;45;22
"02 Vissershaven";37;2763;107;38;154;234;422;85;26
"03 Scheveningen Badplaats";50;3623;212;23;183;486;809;83;26
"04 Visserijbuurt";40;2523;149;56;141;324;569;78;16
"05 v Stolkpark/Schev Bosjes";9;436;47;6;10;65;190;6;"x"
"06 Waldeck-Zuid";44;1327;91;51;54;227;150;80;61
"07 Statenkwartier";90;5175;517;30;299;797;2632;153;40
"08 Geuzenkwartier";47;3000;126;47;99;289;520;69;27
"09 Vogelwijk";25;3866;337;"x";88;191;757;59;14
"10 Rond de Energiecentrale";216;2498;197;319;527;708;606;884;323
"11 Kortenbos";208;3310;281;465;294;1055;1012;402;277
"12 Voorhout";37;1172;85;33;123;310;601;46;36
"13 Uilebomen";119;1166;130;229;120;697;411;270;78
"14 Zuidwal";313;2861;300;325;324;1276;838;507;182
"15 Schildersbuurt-West";335;1077;102;2658;965;2179;433;2438;4079
"16 Schildersbuurt-Noord";270;1145;82;2371;206;1525;326;1459;2623
"17 Schildersbuurt-Oost";242;473;34;1977;254;1205;164;1116;1733
"18 Huygenspark";903;1933;190;709;353;1705;937;694;502
"19 Laakhaven-Oost";275;756;85;517;186;1025;372;596;295
"20 Moerwijk-Oost";184;777;47;403;275;621;130;397;435
"21 Groente- en Fruitmarkt";75;563;24;422;454;596;289;813;2025
"22 Laakhaven-West";362;1124;109;855;295;1087;291;860;1014
"23 Spoorwijk";179;932;59;552;341;560;122;1008;617
"24 Laakkwartier-West";301;2326;117;334;1788;1160;520;1233;406
"25 Laakkwartier-Oost";418;3337;268;312;2719;1799;815;1330;405
"26 Noordpolderbuurt";529;1310;122;1325;1263;1449;435;1225;739
"30 Rustenburg";117;2830;154;199;970;498;412;592;347
"31 Oostbroek-Noord";113;1390;92;137;772;539;354;620;542
"32 Transvaalkwartier-Noord";127;347;19;612;356;660;126;746;961
"33 Transvaalkwartier-Midden";78;366;33;783;619;494;137;1043;1492
"34 Transvaalkwartier-Zuid";104;471;36;821;1027;903;602;1365;1929
"35 Oostbroek-Zuid";178;2068;129;200;1792;862;695;904;1350
