"Buurten";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Antilliaans|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Autochtoon|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Indonesisch|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Marokkaans|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Oost-Europees|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Overig niet-Westers allochtoon|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Overig Westers allochtoon|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Surinaams|2017";"Kubus aantal inwoners (leeftijd, geslacht, migratieachtergrond)|Turks|2017"
"01 Oud Scheveningen";29;2236;81;12;74;133;226;49;19
"02 Vissershaven";35;2477;92;26;117;199;325;72;12
"03 Scheveningen Badplaats";48;3638;214;22;166;461;754;85;31
"04 Visserijbuurt";42;2535;140;41;135;282;549;80;13
"05 v Stolkpark/Schev Bosjes";5;482;49;7;11;56;190;7;"x"
"06 Waldeck-Zuid";34;1355;87;49;58;182;141;69;58
"07 Statenkwartier";84;5261;520;21;251;719;2483;145;42
"08 Geuzenkwartier";41;3222;139;46;90;253;501;72;31
"09 Vogelwijk";27;3834;364;"x";69;181;677;62;15
"10 Rond de Energiecentrale";209;2405;182;296;433;619;456;849;298
"11 Kortenbos";184;3394;282;462;283;947;902;394;286
"12 Voorhout";33;1095;88;23;109;279;577;35;27
"13 Uilebomen";105;1200;133;210;103;588;352;274;74
"14 Zuidwal";306;2934;318;312;278;1194;753;502;179
"15 Schildersbuurt-West";338;1084;95;2728;809;2086;386;2433;4079
"16 Schildersbuurt-Noord";268;1115;85;2319;198;1500;274;1508;2652
"17 Schildersbuurt-Oost";230;458;36;2050;208;1110;133;1189;1811
"18 Huygenspark";750;1965;197;658;332;1739;886;673;522
"19 Laakhaven-Oost";270;790;101;496;185;928;345;643;303
"20 Moerwijk-Oost";160;778;47;405;211;640;126;361;400
"21 Groente- en Fruitmarkt";88;583;24;409;383;543;246;879;2004
"22 Laakhaven-West";264;887;89;766;271;928;214;731;971
"23 Spoorwijk";168;959;57;531;270;502;109;1076;627
"24 Laakkwartier-West";303;2487;126;352;1470;1030;478;1349;420
"25 Laakkwartier-Oost";463;3610;261;323;2256;1632;706;1434;414
"26 Noordpolderbuurt";506;1332;130;1350;1107;1482;343;1302;797
"30 Rustenburg";128;3010;171;198;775;472;378;611;360
"31 Oostbroek-Noord";97;1468;85;137;675;486;283;650;620
"32 Transvaalkwartier-Noord";124;364;21;594;355;620;111;775;1008
"33 Transvaalkwartier-Midden";83;372;33;764;531;479;142;1091;1490
"34 Transvaalkwartier-Zuid";127;475;37;828;832;907;538;1438;2078
"35 Oostbroek-Zuid";204;2243;146;206;1359;861;630;955;1522
"36 Zuiderpark";"";99;"x";"";"x";"x";7;"x";"x"
"37 Moerwijk-West";327;1659;112;882;348;1391;171;591;696
"38 Moerwijk-Noord";280;1962;129;574;796;1100;370;766;1017
"39 Moerwijk-Zuid";222;1222;50;672;182;782;139;552;465
"40 Nieuw Waldeck";162;4693;231;308;284;492;381;469;254
"41 Zorgvliet";5;284;43;"";21;48;89;"x";""
"42 Stadhoudersplantsoen";16;1072;112;"x";105;162;368;40;12
"43 Sweelinckplein eo";64;3501;326;18;183;390;1108;158;25
"44 Koningsplein eo";130;4192;257;172;394;620;957;586;174
"45 Zeeheldenkwartier";275;6225;511;430;319;1283;1786;606;253
"46 Archipelbuurt";53;3499;368;19;141;512;1226;97;30
"47 Willemspark";14;762;100;8;43;160;395;7;14
"48 Nassaubuurt";7;916;105;6;31;153;359;21;"x"
"49 Haagse Bos";"x";221;23;"x";19;41;109;"x";"x"
"50 Bloemenbuurt-West";12;1798;163;"x";26;86;187;33;10
