"Buurten";"Aantal horecavoorzieningen (totaal)|2010";"Aantal horecavoorzieningen (totaal)|2011";"Aantal horecavoorzieningen (totaal)|2012";"Aantal horecavoorzieningen (totaal)|2013";"Aantal horecavoorzieningen (totaal)|2014";"Aantal horecavoorzieningen (totaal)|2015";"Aantal horecavoorzieningen (totaal)|2016";"Aantal horecavoorzieningen (totaal)|2017";"Aantal horecavoorzieningen (totaal)|2018";"Aantal horecavoorzieningen (totaal)|2019";"Aantal horecavoorzieningen (totaal)|2020"
"01 Oud Scheveningen";17;19;17;19;19;15;14;16;17;16;16
"02 Vissershaven";40;43;42;45;44;46;52;49;53;50;45
"03 Scheveningen Badplaats";74;78;77;80;80;81;79;81;82;86;88
"04 Visserijbuurt";17;18;19;18;18;18;17;18;19;17;19
"05 v Stolkpark/Schev Bosjes";4;4;4;4;4;3;4;4;3;3;3
"06 Waldeck-Zuid";1;"-";"-";"-";0;0;0;0;2;1;0
"07 Statenkwartier";34;34;32;33;34;33;34;31;36;37;42
"08 Geuzenkwartier";7;8;8;8;8;7;7;8;7;6;5
"09 Vogelwijk";5;8;8;8;9;9;9;10;12;12;10
"10 Rond de Energiecentrale";22;21;21;21;19;21;22;22;23;23;25
"11 Kortenbos";102;98;99;103;102;108;111;118;121;120;126
"12 Voorhout";148;148;152;155;153;156;157;155;162;168;166
"13 Uilebomen";42;39;43;43;45;47;50;52;61;65;66
"14 Zuidwal";115;118;122;125;123;128;128;131;138;139;145
"15 Schildersbuurt-West";37;39;39;45;44;46;47;47;46;46;47
"16 Schildersbuurt-Noord";17;19;18;20;23;24;26;27;29;28;28
"17 Schildersbuurt-Oost";11;12;12;12;15;14;14;14;14;14;17
"18 Huygenspark";35;36;37;34;40;42;45;51;51;53;51
"19 Laakhaven-Oost";7;8;7;8;8;10;11;11;9;9;8
"20 Moerwijk-Oost";7;7;7;7;9;8;8;7;8;7;9
"21 Groente- en Fruitmarkt";7;8;9;12;9;9;9;9;11;11;11
"22 Laakhaven-West";14;16;14;13;10;9;10;11;11;13;12
"23 Spoorwijk";1;2;2;2;2;2;2;2;2;2;2
"24 Laakkwartier-West";15;12;13;13;15;16;16;17;20;21;20
"25 Laakkwartier-Oost";22;24;24;22;23;22;22;23;22;23;24
"26 Noordpolderbuurt";19;18;17;16;18;18;20;20;20;19;18
"30 Rustenburg";10;11;9;11;9;10;10;10;11;11;10
"31 Oostbroek-Noord";18;19;20;20;22;19;18;19;20;20;23
"32 Transvaalkwartier-Noord";18;16;17;17;18;16;18;18;21;20;21
"33 Transvaalkwartier-Midden";21;21;21;24;23;22;23;26;29;29;30
"34 Transvaalkwartier-Zuid";27;28;28;30;31;29;30;31;31;29;29
"35 Oostbroek-Zuid";11;9;12;11;11;11;10;11;11;12;14
"36 Zuiderpark";7;8;8;8;9;7;7;7;5;6;6
"37 Moerwijk-West";11;12;12;12;12;12;13;13;15;17;17
"38 Moerwijk-Noord";7;7;8;7;8;7;7;9;8;8;9
"39 Moerwijk-Zuid";"-";"-";"-";"-";0;0;1;1;2;3;3
"40 Nieuw Waldeck";3;3;3;3;3;2;2;2;2;2;2
"41 Zorgvliet";5;6;6;6;8;8;8;10;9;9;9
