;0 t/m 4 jaar;5 t/m 9 jaar;10 t/m 14 jaar;15 t/m 19 jaar;20 t/m 24 jaar;25 t/m 29 jaar;30 t/m 34 jaar;35 t/m 39 jaar;40 t/m 44 jaar;45 t/m 49 jaar;50 t/m 54 jaar;55 t/m 59 jaar;60 t/m 64 jaar;65 t/m 69 jaar;70 t/m 74 jaar;75 t/m 79 jaar;80 t/m 84 jaar;85 t/m 89 jaar;90 t/m 94 jaar;95 jaar en ouder;Nederlands;Turken;Marokkanen;Surinamers;Antillianen;Oost-Europeanen;Indonesiërs;Overig Westers;Overig niet-Westers
2005;76;12;96;276;623;585;187;114;31;25;-51;-77;-46;-46;-9;-2;0;-2;-3;-1;-110;184;93;171;-128;807;39;502;230
2006;-29;-182;-64;226;-33;-83;-495;-357;-330;-322;-197;-150;-78;-60;-29;-8;-13;-3;-3;-2;-966;-280;-215;-359;-177;776;-92;-114;-785
2007;-6;-125;120;386;527;592;96;-42;19;-87;17;-126;-47;-74;-22;-7;2;-1;-2;-1;-559;62;-177;-27;-130;2240;-9;267;-448
2008;332;177;262;647;1509;1346;872;668;327;158;53;19;-35;-52;-9;-2;1;-1;1;-1;5;531;31;214;180;2690;71;1253;1297
2009;328;108;252;639;1045;792;469;230;153;149;-1;-52;-67;-54;-13;1;1;-5;-1;0;30;290;16;174;209;1659;18;776;802
2010;244;134;267;602;993;671;354;253;138;43;-24;-81;-30;-39;-5;15;-3;-8;1;2;-113;263;136;100;200;1651;31;549;710
2011;335;182;236;782;1196;797;375;261;298;111;27;-32;-37;-36;5;-8;3;-6;-3;0;11;370;186;116;186;1978;27;882;730
2012;95;26;41;640;643;217;42;-19;-109;-67;-88;-54;-51;-53;-6;5;-11;0;4;-1;-288;-16;46;-32;-40;1079;-12;559;-42
2013;119;22;187;704;243;-32;-136;-154;-75;-20;-138;-51;-68;-72;-36;-6;-3;-5;1;1;-324;-249;37;-172;-168;733;-48;621;51
2014;231;187;218;854;1086;777;455;423;228;66;31;-55;-36;-76;-26;-9;-1;8;-3;0;-77;-144;38;-14;-13;1574;33;1248;1713
2015;278;78;210;1055;1201;606;416;185;203;136;87;34;-24;-14;-13;-3;-1;6;-1;1;-5;46;67;76;9;861;44;1269;2073
2016;240;183;245;1138;691;481;317;249;269;120;77;-26;-12;-64;-14;11;-2;-9;2;1;-79;-82;22;54;170;922;50;1932;1024
2017;326;323;414;1356;912;949;793;643;472;364;134;33;-36;-26;2;7;0;10;-2;1;148;155;146;181;386;2086;16;1952;1574
2018;386;283;290;1462;992;902;827;713;646;326;129;38;-25;-40;-2;14;13;1;1;1;-85;239;187;234;381;2035;40;1559;2367
