"Buurten";"Natuurlijk verloop|1996";"Natuurlijk verloop|1997";"Natuurlijk verloop|1998";"Natuurlijk verloop|1999";"Natuurlijk verloop|2000";"Natuurlijk verloop|2001";"Natuurlijk verloop|2002";"Natuurlijk verloop|2003";"Natuurlijk verloop|2004";"Natuurlijk verloop|2005";"Natuurlijk verloop|2006";"Natuurlijk verloop|2007";"Natuurlijk verloop|2008";"Natuurlijk verloop|2009";"Natuurlijk verloop|2010";"Natuurlijk verloop|2011";"Natuurlijk verloop|2012";"Natuurlijk verloop|2013";"Natuurlijk verloop|2014";"Natuurlijk verloop|2015";"Natuurlijk verloop|2016";"Natuurlijk verloop|2017";"Natuurlijk verloop|2018"
"01 Oud Scheveningen";3;-1;-1;-11;3;-22;-13;9;-8;7;1;2;-5;-5;-4;11;1;16;12;16;4;7;18
"02 Vissershaven";-21;-33;-27;-27;-28;-39;-22;-28;-19;-14;-21;-24;0;-18;-30;-18;-34;-16;-10;-11;-16;-39;-22
"03 Scheveningen Badplaats";-7;-4;28;-12;-5;-10;17;19;29;15;39;28;20;36;23;22;40;45;25;20;32;3;28
"04 Visserijbuurt";-23;-32;-18;-23;-35;-19;-22;-31;-9;-23;-25;-5;-25;-16;-5;12;-5;-4;-10;0;-6;-11;3
"05 v Stolkpark/Schev Bosjes";-21;-28;-19;-13;-18;-24;-21;-24;-24;-10;-18;-28;-19;-13;-17;-26;-31;-31;-22;-35;-28;-32;-27
"06 Waldeck-Zuid";-5;-22;-7;-10;-17;-12;-18;-6;-19;-12;-13;-22;-7;-8;-5;-5;-16;-19;-15;-15;-8;-8;-9
"07 Statenkwartier";-98;-71;-33;-54;-42;-14;-20;-30;-5;12;25;12;9;5;-14;-12;-15;-17;-20;-14;-8;23;-8
"08 Geuzenkwartier";1;15;3;-5;1;-10;2;14;0;13;-16;15;1;5;11;-9;11;-2;5;6;6;24;6
"09 Vogelwijk";20;2;-1;12;5;13;35;-1;6;19;13;4;14;12;0;2;3;3;6;-8;0;6;6
"10 Rond de Energiecentrale";40;36;35;36;48;52;40;44;51;38;42;35;44;49;57;53;45;54;41;33;30;2;29
"11 Kortenbos";8;33;27;22;41;30;30;38;25;51;34;28;41;52;56;43;59;33;48;41;30;30;19
"12 Voorhout";4;0;-2;1;9;15;4;7;10;4;14;1;2;6;3;5;8;8;4;18;18;11;6
"13 Uilebomen";-2;12;6;22;10;31;29;20;36;13;19;19;13;6;20;13;23;28;26;24;24;32;29
"14 Zuidwal";19;39;21;14;38;21;34;50;31;46;53;29;45;49;29;43;48;46;39;22;42;26;35
"15 Schildersbuurt-West";197;179;231;241;195;221;191;203;191;159;159;169;170;164;191;154;199;146;119;130;124;120;156
"16 Schildersbuurt-Noord";109;104;78;110;105;80;57;58;97;96;114;100;102;117;100;94;100;95;82;54;87;73;85
"17 Schildersbuurt-Oost";49;103;114;87;107;101;91;78;80;72;77;64;64;48;69;81;59;50;61;51;54;52;49
"18 Huygenspark";34;21;29;26;41;25;5;25;55;34;6;37;14;18;35;42;32;56;62;62;36;48;45
"19 Laakhaven-Oost";21;19;16;49;41;46;33;49;42;38;38;36;34;52;37;38;43;36;42;35;39;27;31
"20 Moerwijk-Oost";-31;-43;-49;-57;-37;-34;-41;-25;-66;-6;-20;-9;-10;-7;-2;14;19;15;37;0;17;49;37
"21 Groente- en Fruitmarkt";25;59;60;43;75;49;47;52;61;63;66;70;72;69;89;46;72;53;77;70;64;76;71
"22 Laakhaven-West";16;13;12;14;22;34;18;11;17;31;26;43;31;41;40;52;41;35;48;35;52;53;77
"23 Spoorwijk";36;55;60;65;41;37;50;47;35;26;32;31;49;52;54;43;32;46;42;58;43;55;41
"24 Laakkwartier-West";49;63;39;96;74;80;56;56;69;74;95;72;87;86;91;102;99;85;99;92;76;85;63
"25 Laakkwartier-Oost";43;51;90;104;111;108;123;116;98;106;127;124;120;109;98;126;171;117;172;174;134;136;101
"26 Noordpolderbuurt";66;51;60;42;74;67;64;72;63;40;48;56;46;79;73;62;76;83;92;83;86;86;62
"30 Rustenburg";30;52;58;52;50;46;51;40;64;74;68;76;70;56;57;110;69;87;70;65;57;62;65
"31 Oostbroek-Noord";32;42;56;45;55;59;65;65;57;51;74;55;51;61;52;80;72;56;78;55;84;52;50
"32 Transvaalkwartier-Noord";54;68;74;41;44;48;60;43;43;41;50;43;46;45;43;35;28;27;37;59;53;42;48
"33 Transvaalkwartier-Midden";35;35;43;28;48;24;23;47;31;17;50;33;14;12;7;32;47;45;43;44;56;34;29
"34 Transvaalkwartier-Zuid";117;122;138;124;127;113;86;77;72;75;82;92;86;97;93;101;122;67;75;84;68;67;61
"35 Oostbroek-Zuid";49;42;74;62;101;79;85;78;106;112;107;108;119;132;110;97;102;98;109;106;106;124;96
"36 Zuiderpark";0;0;0;0;0;0;0;0;0;0;0;0;-1;0;-1;0;-6;1;-1;-7;0;-6;-6
"37 Moerwijk-West";-49;-34;-24;-13;-9;-1;-23;-21;-11;15;25;21;39;43;53;30;34;57;69;26;32;44;43
"38 Moerwijk-Noord";23;44;29;40;42;74;39;46;81;49;53;66;87;74;80;81;89;88;92;87;87;82;72
"39 Moerwijk-Zuid";-16;-7;-6;0;2;-3;7;6;34;27;59;63;41;63;47;74;60;52;56;76;72;86;72
"40 Nieuw Waldeck";-24;-1;-42;-18;-27;-21;-20;-42;-23;-28;-26;-25;-27;-4;-42;-21;-17;-7;-38;-38;20;-27;-17
"41 Zorgvliet";-1;2;-3;-1;0;-5;-2;2;-5;2;0;1;-5;1;0;-4;0;-1;-2;4;0;-5;2
"42 Stadhoudersplantsoen";-3;-5;3;-5;8;8;-6;11;11;4;10;-1;3;12;-1;9;21;6;5;19;6;7;13
"43 Sweelinckplein eo";27;18;42;32;32;36;58;48;60;68;53;76;60;56;84;66;51;44;38;76;64;34;50
"44 Koningsplein eo";13;33;47;40;40;32;62;56;65;56;61;63;67;71;90;84;72;82;93;70;69;84;64
"45 Zeeheldenkwartier";42;31;17;29;53;27;86;52;38;86;61;49;87;66;78;75;78;79;83;53;75;91;63
"46 Archipelbuurt";2;14;2;13;5;26;17;12;33;18;2;14;3;23;26;10;18;11;2;8;18;4;19
"47 Willemspark";11;11;4;12;11;6;8;10;11;-1;12;3;5;11;13;7;13;5;13;6;11;8;3
"48 Nassaubuurt";4;2;5;-1;8;10;4;6;2;14;2;5;14;9;14;12;2;9;7;8;9;8;2
