BUURTCODE,buurtname,avg_household_size,houses,avg_price,p_occupied,p_free,bought_houses,rented_houses,rent_corp,rent_private
1,Oud Scheveningen,1.8,1683,224.0,91.0,9.0,44.0,55.0,31.0,24.0
2,Vissershaven,1.9,2145,290.0,87.0,13.0,44.0,54.0,26.0,28.0
3,Scheveningen Badplaats,1.8,3293,292.0,82.0,18.0,56.0,42.0,9.0,33.0
4,Visserijbuurt,1.9,2198,270.0,89.0,11.0,41.0,58.0,27.0,31.0
5,Van Stolkpark en Scheveningse Bosjes,2.0,469,785.0,75.0,25.0,50.0,48.0,10.0,38.0
6,Waldeck-Zuid,1.8,1195,162.0,96.0,4.0,44.0,56.0,50.0,6.0
7,Statenkwartier,2.1,4880,525.0,83.0,17.0,60.0,35.0,3.0,32.0
8,Geuzenkwartier,2.1,2363,279.0,82.0,18.0,57.0,42.0,28.0,14.0
9,Vogelwijk,2.6,2126,667.0,92.0,8.0,89.0,11.0,2.0,8.0
10,Rond de Energiecentrale,1.8,3370,175.0,93.0,7.0,27.0,72.0,26.0,47.0
11,Kortenbos,1.6,4597,223.0,88.0,12.0,26.0,72.0,37.0,35.0
12,Voorhout,1.4,1676,430.0,72.0,28.0,29.0,69.0,9.0,59.0
13,Uilebomen,1.7,1908,272.0,90.0,10.0,23.0,76.0,41.0,35.0
14,Zuidwal,1.5,4398,185.0,90.0,10.0,14.0,85.0,49.0,36.0
15,Schildersbuurt-West,2.3,5574,143.0,95.0,5.0,24.0,75.0,58.0,17.0
16,Schildersbuurt-Noord,2.3,4239,133.0,97.0,3.0,15.0,85.0,75.0,10.0
17,Schildersbuurt-Oost,2.5,2632,144.0,98.0,2.0,15.0,85.0,79.0,6.0
18,Huygenspark,1.5,4595,144.0,95.0,5.0,8.0,87.0,67.0,21.0
19,Laakhaven-Oost,1.7,2170,157.0,97.0,3.0,17.0,83.0,73.0,10.0
20,Moerwijk-Oost,1.8,1728,113.0,90.0,10.0,9.0,91.0,74.0,18.0
21,Groente- en Fruitmarkt,2.4,1691,158.0,96.0,4.0,40.0,59.0,30.0,29.0
22,Laakhaven-West,1.7,3142,130.0,94.0,6.0,13.0,87.0,50.0,37.0
23,Spoorwijk,2.4,1615,171.0,98.0,2.0,35.0,65.0,56.0,9.0
24,Laakkwartier-West,2.0,3534,132.0,94.0,6.0,47.0,53.0,12.0,41.0
25,Laakkwartier-Oost,1.9,5142,131.0,95.0,5.0,47.0,53.0,4.0,49.0
26,Noordpolderbuurt,2.0,3845,133.0,93.0,7.0,22.0,78.0,49.0,29.0
30,Rustenburg,2.0,2949,144.0,95.0,5.0,54.0,45.0,16.0,29.0
31,Oostbroek-Noord,2.0,2056,139.0,94.0,6.0,57.0,42.0,0.0,42.0
32,Transvaalkwartier-Noord,2.1,1780,113.0,94.0,6.0,10.0,89.0,66.0,23.0
33,Transvaalkwartier-Midden,2.3,1849,154.0,95.0,5.0,26.0,73.0,44.0,30.0
34,Transvaalkwartier-Zuid,2.4,2520,148.0,96.0,4.0,44.0,56.0,28.0,28.0
35,Oostbroek-Zuid,2.1,3467,131.0,95.0,5.0,55.0,45.0,1.0,44.0
36,Zuiderpark,1.3,101,111.0,89.0,11.0,0.0,100.0,99.0,1.0
37,Moerwijk-West,1.9,3254,112.0,94.0,6.0,5.0,94.0,71.0,23.0
38,Moerwijk-Noord,2.0,3138,126.0,97.0,3.0,36.0,64.0,47.0,17.0
39,Moerwijk-Zuid,1.9,2311,119.0,97.0,3.0,14.0,86.0,83.0,3.0
40,Nieuw Waldeck,2.1,3693,189.0,92.0,8.0,28.0,72.0,67.0,5.0
41,Zorgvliet,1.9,350,700.0,72.0,28.0,57.0,36.0,2.0,33.0
42,Stadhoudersplantsoen,1.8,1185,301.0,84.0,16.0,45.0,54.0,8.0,46.0
43,Sweelinckplein en omgeving,1.9,2978,395.0,86.0,14.0,54.0,45.0,5.0,40.0
44,Koningsplein en omgeving,1.8,3992,256.0,90.0,10.0,39.0,60.0,11.0,49.0
45,Zeeheldenkwartier,1.7,6533,282.0,86.0,14.0,32.0,67.0,26.0,41.0
46,Archipelbuurt,1.8,3693,506.0,82.0,18.0,52.0,47.0,14.0,33.0
47,Willemspark,1.6,1170,422.0,75.0,25.0,38.0,58.0,3.0,55.0
48,Nassaubuurt,2.1,752,628.0,88.0,12.0,65.0,33.0,1.0,32.0
49,Haagse Bos,1.4,433,221.0,70.0,30.0,34.0,65.0,5.0,60.0
50,Bloemenbuurt-West,2.1,1119,347.0,93.0,7.0,84.0,16.0,1.0,15.0
51,Bloemenbuurt-Oost,2.0,3399,253.0,94.0,6.0,67.0,32.0,5.0,27.0
52,Bomenbuurt,1.9,3214,266.0,90.0,10.0,62.0,37.0,8.0,29.0
53,Vruchtenbuurt,2.2,3224,299.0,95.0,5.0,79.0,21.0,5.0,15.0
54,Heesterbuurt,1.8,3647,175.0,95.0,5.0,49.0,51.0,26.0,25.0
55,Valkenboskwartier,1.8,5954,202.0,90.0,10.0,47.0,53.0,4.0,49.0
60,Binckhorst,1.4,527,188.0,76.0,24.0,3.0,96.0,0.0,96.0
61,Landen,1.7,3048,165.0,94.0,6.0,33.0,66.0,52.0,14.0
62,Rivierenbuurt-Zuid,1.4,497,110.0,89.0,11.0,17.0,83.0,20.0,63.0
63,Rivierenbuurt-Noord,1.8,1988,209.0,87.0,13.0,24.0,76.0,31.0,45.0
64,Bezuidenhout-West,1.7,2117,241.0,94.0,6.0,18.0,82.0,49.0,33.0
65,Bezuidenhout-Midden,1.8,2308,323.0,90.0,10.0,54.0,37.0,3.0,34.0
66,Bezuidenhout-Oost,1.7,5211,244.0,92.0,8.0,55.0,44.0,7.0,37.0
67,Kampen,1.7,1509,155.0,95.0,5.0,35.0,64.0,45.0,19.0
68,Marlot,2.6,357,827.0,81.0,19.0,83.0,14.0,0.0,14.0
69,Burgen en Horsten,1.7,3770,164.0,93.0,7.0,38.0,62.0,38.0,24.0
