BUURTCODE,income,BUURTNAAM
1,30000.0,Oud Scheveningen
2,34500.0,Vissershaven
3,38200.0,Scheveningen Badplaats
4,35700.0,Visserijbuurt
5,85700.0,Van Stolkpark en Scheveningse Bosjes
6,27500.0,Waldeck-Zuid
7,63100.0,Statenkwartier
8,33100.0,Geuzenkwartier
9,63700.0,Vogelwijk
10,27900.0,Rond de Energiecentrale
11,33200.0,Kortenbos
12,54000.0,Voorhout
13,39400.0,Uilebomen
14,29300.0,Zuidwal
15,19200.0,Schildersbuurt-West
16,19200.0,Schildersbuurt-Noord
17,18600.0,Schildersbuurt-Oost
18,22100.0,Huygenspark
19,22900.0,Laakhaven-Oost
20,21100.0,Moerwijk-Oost
21,22600.0,Groente- en Fruitmarkt
22,21900.0,Laakhaven-West
23,23800.0,Spoorwijk
24,23700.0,Laakkwartier-West
25,23800.0,Laakkwartier-Oost
26,20600.0,Noordpolderbuurt
30,25800.0,Rustenburg
31,25900.0,Oostbroek-Noord
32,19100.0,Transvaalkwartier-Noord
33,21600.0,Transvaalkwartier-Midden
34,21100.0,Transvaalkwartier-Zuid
35,23900.0,Oostbroek-Zuid
36,20600.0,Zuiderpark
37,19800.0,Moerwijk-West
38,23200.0,Moerwijk-Noord
39,23800.0,Moerwijk-Zuid
40,25800.0,Nieuw Waldeck
41,74400.0,Zorgvliet
42,43700.0,Stadhoudersplantsoen
43,52400.0,Sweelinckplein e.o.
44,35700.0,Koningsplein e.o.
45,37500.0,Zeeheldenkwartier
46,73800.0,Archipelbuurt
47,59900.0,Willemspark
48,90600.0,Nassaubuurt
49,52900.0,Haagse Bos
50,42100.0,Bloemenbuurt-West
51,36000.0,Bloemenbuurt-Oost
52,36700.0,Bomenbuurt
53,40000.0,Vruchtenbuurt
54,29000.0,Heesterbuurt
55,29900.0,Valkenboskwartier
60,15800.0,Binckhorst
61,29100.0,Landen
62,22400.0,Rivierenbuurt-Zuid
63,34300.0,Rivierenbuurt-Noord
64,29700.0,Bezuidenhout-West
65,50500.0,Bezuidenhout-Midden
66,39800.0,Bezuidenhout-Oost
67,27800.0,Kampen
68,90100.0,Marlot
69,31100.0,Burgen en Horsten
70,0.0,Oostduinen
71,45200.0,Belgisch Park
72,43200.0,Rijslag
73,80600.0,Westbroekpark
74,82500.0,Duttendel
75,52500.0,Uilennest
76,57900.0,Duinzigt
77,73300.0,Waalsdorp
78,80100.0,Arendsdorp
79,63000.0,Van Hoytemastraat e.o.
80,23100.0,Morgenstond-Zuid
81,45500.0,Bosjes van Pex
82,30300.0,Rosenburg
83,35600.0,Eykenduinen
84,29000.0,Leyenburg
85,0.0,Kerketuinen en Zichtenburg
86,30700.0,Houtwijk
87,22400.0,"Venen, Oorden en Raden"
88,27700.0,Morgenstond-West
89,23800.0,Morgenstond-Oost
90,60200.0,Ockenburgh
91,51200.0,Kijkduin
92,36600.0,Bohemen en Meer en Bos
93,38500.0,Componistenbuurt
94,32800.0,Waldeck-Noord
95,27600.0,Kom Loosduinen
96,23400.0,"Zijden, Steden en Zichten"
97,40000.0,Kraayenstein en Vroondaal
98,23800.0,Dreven en Gaarden
99,32000.0,De Uithof
100,28400.0,Duindorp
101,34400.0,Erasmus Veld
102,36900.0,Hoge Veld
103,46700.0,Parkbuurt Oosteinde
104,32500.0,Lage Veld
105,34400.0,Zonne Veld
106,42300.0,Vlietzoom-West
107,0.0,Vliegeniersbuurt
108,71700.0,Bosweide
109,0.0,Tedingerbroek
110,0.0,De Reef
111,35800.0,De Venen
112,36800.0,Morgenweide
113,36600.0,Singels
114,34700.0,Waterbuurt
115,43300.0,De Bras
116,52400.0,Westvliet-Oost
117,0.0,De Rivieren
118,39200.0,De Lanen
119,38700.0,De Velden
120,38900.0,De Vissen
121,43100.0,Rietbuurt
