buurtcode,pop,a_young,a_middle,a_old,nat_change,owned_properties,part_rent,social_rent,houses,avg_value,a_horeca,a_health,a_schools,amenities
1,2919.0,509,1872.0,538,18.0,741.0,351.0,523.0,1621.0,223740,47.0,0.69,4.0,23.0
2,3866.0,788,2264.0,814,-22.0,1036.0,453.0,560.0,2141.0,272290,30.0,2.33,0.0,13.0
3,5495.0,976,3588.0,931,28.0,1979.0,900.0,302.0,3218.0,291941,79.0,1.46,2.0,40.0
4,3896.0,764,2271.0,861,3.0,919.0,555.0,594.0,2091.0,267575,63.0,1.28,7.0,37.0
5,773.0,167,361.0,245,-27.0,242.0,86.0,48.0,385.0,776645,1.0,2.59,1.0,2.0
6,2085.0,358,1037.0,690,-9.0,537.0,59.0,597.0,1193.0,162668,0.0,2.88,0.0,19.0
7,9733.0,2403,5622.0,1708,-8.0,3013.0,1528.0,125.0,4751.0,520154,25.0,2.05,7.0,7.0
8,4224.0,912,2469.0,843,6.0,1278.0,306.0,487.0,2077.0,279063,21.0,0.95,3.0,12.0
9,5339.0,1632,2622.0,1085,6.0,1892.0,149.0,41.0,2085.0,668154,0.0,1.69,3.0,6.0
10,6278.0,1076,4543.0,659,29.0,961.0,1417.0,869.0,3305.0,173696,35.0,1.43,6.0,45.0
11,7304.0,1115,5257.0,932,19.0,1303.0,1558.0,1406.0,4347.0,221473,147.0,2.05,3.0,41.0
12,2443.0,215,1864.0,364,6.0,511.0,835.0,161.0,1559.0,428931,206.0,2.46,5.0,45.0
13,3220.0,519,2304.0,397,29.0,440.0,654.0,780.0,1900.0,269348,160.0,1.55,3.0,31.0
14,6926.0,884,5274.0,768,35.0,663.0,1502.0,2046.0,4290.0,183573,286.0,2.02,14.0,37.0
15,14266.0,3916,9012.0,1338,156.0,1392.0,908.0,3122.0,5450.0,142749,59.0,0.7,19.0,40.0
16,10007.0,2792,6071.0,1144,85.0,631.0,387.0,3125.0,4161.0,132682,44.0,1.4,17.0,51.0
17,7198.0,2100,4340.0,758,49.0,415.0,147.0,2070.0,2634.0,143374,29.0,0.42,6.0,17.0
18,7926.0,1479,5870.0,577,45.0,396.0,1003.0,3099.0,4545.0,138961,77.0,0.76,4.0,6.0
19,4107.0,961,2785.0,361,31.0,372.0,211.0,1587.0,2170.0,162352,21.0,0.73,3.0,9.0
20,3269.0,786,2110.0,373,37.0,150.0,23.0,1447.0,1623.0,109981,16.0,2.45,5.0,8.0
21,5261.0,1523,3381.0,357,71.0,705.0,475.0,552.0,1738.0,159580,8.0,0.95,6.0,16.0
22,5997.0,1365,4153.0,479,77.0,500.0,1038.0,1560.0,3144.0,130810,11.0,0.67,6.0,16.0
23,4370.0,1261,2775.0,334,41.0,576.0,125.0,905.0,1607.0,169997,9.0,0.69,3.0,18.0
24,8185.0,1854,5708.0,623,63.0,1694.0,1402.0,409.0,3515.0,131722,36.0,1.59,11.0,21.0
25,11403.0,2508,7939.0,956,101.0,2471.0,2443.0,180.0,5106.0,130739,36.0,0.61,11.0,9.0
26,8397.0,2032,5662.0,703,62.0,877.0,1050.0,1607.0,3546.0,131684,36.0,1.43,8.0,26.0
30,6119.0,1299,4167.0,653,65.0,1601.0,838.0,484.0,2924.0,144368,26.0,0.49,6.0,17.0
31,4559.0,999,3227.0,333,50.0,1214.0,816.0,6.0,2040.0,138735,80.0,2.41,4.0,18.0
32,3954.0,983,2559.0,412,48.0,189.0,385.0,1176.0,1757.0,113094,81.0,0.76,5.0,38.0
