buurtcode,pop,a_young,a_middle,a_old,nat_change,owned_properties,part_rent,social_rent,houses,avg_value,a_horeca,a_health,a_schools,amenities
1,2859.0,467.0,1861.0,531.0,0.0,750.0,328.0,523.0,1620.0,179628.0,43.0,1.05,8.0,23.0
2,3355.0,634.0,1989.0,732.0,0.0,846.0,371.0,560.0,1842.0,201131.0,28.0,1.49,0.0,12.0
3,5419.0,975.0,3539.0,905.0,0.0,1927.0,903.0,303.0,3203.0,239016.0,79.0,1.85,2.0,42.0
4,3817.0,730.0,2228.0,859.0,0.0,915.0,469.0,594.0,1994.0,222624.0,70.0,1.31,7.0,37.0
5,809.0,178.0,369.0,262.0,0.0,241.0,84.0,48.0,376.0,606257.0,1.0,2.47,2.0,2.0
6,2033.0,325.0,1030.0,678.0,0.0,542.0,56.0,597.0,1195.0,134479.0,0.0,2.95,0.0,19.0
7,9526.0,2362.0,5546.0,1618.0,0.0,2981.0,1478.0,125.0,4666.0,433011.0,22.0,2.2,7.0,6.0
8,4395.0,884.0,2540.0,971.0,0.0,1263.0,316.0,668.0,2261.0,214500.0,21.0,0.91,3.0,12.0
9,5233.0,1571.0,2627.0,1035.0,0.0,1873.0,166.0,45.0,2086.0,563753.0,0.0,1.72,3.0,6.0
10,5747.0,1056.0,4068.0,623.0,0.0,922.0,1222.0,798.0,2988.0,139286.0,33.0,1.22,6.0,43.0
11,7134.0,1149.0,5124.0,861.0,0.0,1293.0,1335.0,1409.0,4099.0,180169.0,143.0,2.38,3.0,41.0
12,2266.0,191.0,1740.0,335.0,0.0,484.0,792.0,161.0,1524.0,344778.0,201.0,3.09,5.0,43.0
13,3039.0,450.0,2230.0,359.0,0.0,409.0,568.0,813.0,1858.0,215335.0,146.0,2.3,7.0,28.0
14,6776.0,894.0,5171.0,711.0,0.0,668.0,1535.0,1916.0,4191.0,147604.0,280.0,1.92,12.0,39.0
15,14038.0,4027.0,8784.0,1227.0,0.0,1342.0,812.0,3150.0,5381.0,115384.0,56.0,0.64,19.0,40.0
16,9919.0,2853.0,6053.0,1013.0,0.0,601.0,372.0,3313.0,4298.0,109520.0,47.0,1.81,17.0,49.0
17,7225.0,2199.0,4368.0,658.0,0.0,408.0,156.0,2007.0,2577.0,117125.0,32.0,0.42,9.0,17.0
18,7722.0,1506.0,5699.0,517.0,0.0,408.0,612.0,2887.0,3991.0,116962.0,62.0,0.52,4.0,6.0
19,4061.0,873.0,2861.0,327.0,0.0,321.0,185.0,1329.0,1839.0,136371.0,24.0,0.49,9.0,9.0
20,3128.0,745.0,2037.0,346.0,0.0,122.0,10.0,1456.0,1588.0,90114.0,16.0,2.56,10.0,8.0
21,5159.0,1534.0,3305.0,320.0,0.0,699.0,457.0,555.0,1723.0,135005.0,10.0,0.97,6.0,16.0
22,5121.0,1272.0,3406.0,443.0,0.0,525.0,428.0,1702.0,3031.0,109762.0,13.0,0.78,3.0,13.0
23,4299.0,1255.0,2752.0,292.0,0.0,578.0,118.0,934.0,1631.0,144365.0,9.0,0.7,3.0,18.0
24,8015.0,1907.0,5500.0,608.0,0.0,1788.0,1290.0,381.0,3476.0,112567.0,32.0,1.5,13.0,21.0
25,11099.0,2504.0,7647.0,948.0,0.0,2588.0,2298.0,42.0,4949.0,107249.0,38.0,0.72,11.0,11.0
26,8349.0,2062.0,5655.0,632.0,0.0,906.0,989.0,1750.0,3661.0,105707.0,36.0,1.44,8.0,28.0
30,6103.0,1344.0,4099.0,660.0,0.0,1646.0,787.0,486.0,2923.0,118418.0,29.0,0.49,6.0,17.0
31,4501.0,1045.0,3131.0,325.0,0.0,1261.0,742.0,6.0,2024.0,114296.0,84.0,3.11,4.0,18.0
32,3972.0,1022.0,2565.0,385.0,0.0,200.0,360.0,1199.0,1770.0,96821.0,76.0,0.76,5.0,38.0
33,4985.0,1473.0,2949.0,563.0,0.0,527.0,491.0,815.0,1865.0,125113.0,73.0,1.6,15.0,37.0
34,7260.0,2161.0,4607.0,492.0,0.0,1118.0,622.0,663.0,2429.0,124527.0,58.0,1.1,25.0,22.0
35,8126.0,2063.0,5573.0,490.0,0.0,1981.0,1405.0,32.0,3433.0,109748.0,19.0,1.11,11.0,8.0
36,120.0,1.0,27.0,92.0,0.0,0.0,0.0,100.0,100.0,95760.0,4.0,0.0,0.0,17.0
37,6177.0,1588.0,3718.0,871.0,0.0,165.0,78.0,2833.0,3076.0,87897.0,20.0,0.97,6.0,20.0
38,6994.0,1782.0,4502.0,710.0,0.0,1163.0,477.0,1477.0,3125.0,105450.0,17.0,0.57,13.0,8.0
39,4286.0,1079.0,2815.0,392.0,0.0,308.0,39.0,1912.0,2280.0,100607.0,7.0,1.63,2.0,23.0
40,7274.0,1530.0,4170.0,1574.0,0.0,1023.0,173.0,2171.0,3380.0,154144.0,3.0,0.82,3.0,11.0
41,492.0,74.0,241.0,177.0,0.0,181.0,103.0,16.0,318.0,538706.0,2.0,4.07,5.0,8.0
42,1888.0,319.0,1155.0,414.0,0.0,520.0,525.0,92.0,1159.0,250846.0,43.0,1.59,4.0,21.0
43,5773.0,1271.0,3867.0,635.0,0.0,1641.0,1024.0,139.0,2872.0,321161.0,31.0,2.08,7.0,13.0
44,7482.0,1337.0,5465.0,680.0,0.0,1676.0,1713.0,444.0,3935.0,207098.0,73.0,1.34,0.0,16.0
45,11688.0,1961.0,8547.0,1180.0,0.0,2198.0,2147.0,1536.0,6179.0,220361.0,97.0,2.05,4.0,22.0
46,5945.0,1124.0,3553.0,1268.0,0.0,1950.0,1041.0,492.0,3559.0,407166.0,16.0,2.02,1.0,15.0
47,1503.0,217.0,1030.0,256.0,0.0,379.0,644.0,37.0,1093.0,337221.0,69.0,4.66,6.0,14.0
48,1601.0,406.0,880.0,315.0,0.0,517.0,223.0,8.0,753.0,497477.0,10.0,2.5,7.0,3.0
49,422.0,28.0,223.0,171.0,0.0,156.0,143.0,32.0,336.0,160273.0,2.0,0.0,1.0,0.0
50,2319.0,503.0,1251.0,565.0,0.0,934.0,135.0,17.0,1091.0,270054.0,0.0,2.59,11.0,11.0
51,6449.0,1354.0,3850.0,1245.0,0.0,2288.0,909.0,165.0,3368.0,195362.0,20.0,1.24,7.0,7.0
52,5841.0,1121.0,3574.0,1146.0,0.0,2030.0,834.0,263.0,3155.0,208460.0,41.0,2.91,13.0,13.0
53,7043.0,1688.0,4256.0,1099.0,0.0,2522.0,475.0,172.0,3173.0,232708.0,15.0,3.55,4.0,11.0
54,6754.0,1382.0,4696.0,676.0,0.0,1849.0,802.0,930.0,3594.0,137222.0,29.0,1.48,2.0,19.0
55,11532.0,2250.0,8191.0,1091.0,0.0,2922.0,2597.0,179.0,5789.0,153265.0,88.0,1.04,8.0,29.0
60,1636.0,90.0,1534.0,12.0,0.0,2.0,132.0,0.0,190.0,67576.0,4.0,0.61,0.0,3.0
61,4639.0,816.0,2787.0,1036.0,0.0,1022.0,279.0,1602.0,2910.0,115622.0,3.0,0.43,3.0,8.0
62,807.0,106.0,655.0,46.0,0.0,99.0,258.0,98.0,480.0,88841.0,20.0,0.0,0.0,0.0
63,3843.0,681.0,2797.0,365.0,0.0,559.0,1156.0,577.0,2363.0,196811.0,130.0,1.04,8.0,11.0
64,3434.0,896.0,2247.0,291.0,0.0,337.0,218.0,1034.0,1593.0,146725.0,15.0,0.0,4.0,6.0
65,4048.0,883.0,2622.0,543.0,0.0,1293.0,686.0,58.0,2056.0,266358.0,26.0,1.98,10.0,8.0
66,9037.0,1399.0,6458.0,1180.0,0.0,3042.0,1688.0,377.0,5153.0,184844.0,25.0,1.66,5.0,20.0
67,2377.0,391.0,1507.0,479.0,0.0,495.0,301.0,720.0,1528.0,116466.0,2.0,1.68,3.0,23.0
68,781.0,219.0,398.0,164.0,0.0,296.0,47.0,0.0,343.0,675655.0,1.0,1.28,0.0,5.0
69,6304.0,1065.0,3638.0,1601.0,0.0,1466.0,801.0,1335.0,3606.0,124564.0,9.0,1.74,6.0,16.0
70,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
71,8172.0,1792.0,4737.0,1643.0,0.0,2517.0,960.0,486.0,3998.0,311703.0,43.0,1.84,3.0,8.0
72,1664.0,292.0,937.0,435.0,0.0,459.0,311.0,105.0,887.0,295692.0,16.0,3.61,8.0,19.0
73,845.0,148.0,314.0,383.0,0.0,331.0,75.0,54.0,467.0,571888.0,7.0,0.0,0.0,4.0
74,1054.0,223.0,479.0,352.0,0.0,365.0,130.0,2.0,499.0,605603.0,0.0,1.9,1.0,5.0
75,2094.0,369.0,1132.0,593.0,0.0,954.0,278.0,0.0,1236.0,269640.0,0.0,0.96,0.0,0.0
76,2525.0,339.0,885.0,1301.0,0.0,1058.0,509.0,38.0,1623.0,331027.0,6.0,0.0,4.0,13.0
77,3776.0,1082.0,1964.0,730.0,0.0,1343.0,356.0,0.0,1717.0,486506.0,3.0,2.65,8.0,5.0
78,1321.0,337.0,658.0,326.0,0.0,391.0,78.0,47.0,524.0,509828.0,0.0,2.27,0.0,9.0
79,2308.0,645.0,1324.0,339.0,0.0,753.0,266.0,1.0,1025.0,396412.0,12.0,2.17,15.0,8.0
80,5876.0,1385.0,3831.0,660.0,0.0,537.0,416.0,1889.0,2846.0,98628.0,12.0,0.85,6.0,19.0
81,399.0,77.0,240.0,82.0,0.0,181.0,28.0,0.0,209.0,258550.0,2.0,0.0,0.0,22.0
82,2971.0,353.0,1548.0,1070.0,0.0,527.0,313.0,672.0,1574.0,157846.0,12.0,1.68,10.0,25.0
83,2669.0,566.0,1672.0,431.0,0.0,1011.0,259.0,54.0,1324.0,186923.0,12.0,2.25,0.0,6.0
84,14864.0,2852.0,9294.0,2718.0,0.0,4560.0,1934.0,916.0,7421.0,131094.0,7.0,0.81,4.0,13.0
85,45.0,0.0,42.0,3.0,0.0,1.0,2.0,1.0,4.0,0.0,4.0,22.22,1.0,6.0
86,12601.0,2760.0,7356.0,2485.0,0.0,3083.0,235.0,2100.0,5437.0,188472.0,3.0,0.95,3.0,3.0
87,8447.0,2270.0,5072.0,1105.0,0.0,844.0,203.0,2594.0,3645.0,114244.0,1.0,0.83,2.0,16.0
88,7296.0,1770.0,4453.0,1073.0,0.0,1394.0,139.0,1852.0,3400.0,145001.0,20.0,1.64,12.0,25.0
89,5498.0,1097.0,3640.0,761.0,0.0,493.0,149.0,2381.0,3025.0,95274.0,12.0,1.64,2.0,13.0
90,726.0,139.0,476.0,111.0,0.0,181.0,15.0,18.0,215.0,629721.0,1.0,2.75,0.0,4.0
91,1545.0,236.0,701.0,608.0,0.0,443.0,261.0,109.0,815.0,429910.0,12.0,0.0,1.0,0.0
