"Buurten";"Aantal vestigingen landbouw, bosbouw en visserij|2015";"Aantal vestigingen landbouw, bosbouw en visserij|2016";"Aantal vestigingen landbouw, bosbouw en visserij|2017";"Aantal vestigingen landbouw, bosbouw en visserij|2018";"Aantal vestigingen landbouw, bosbouw en visserij|2019";"Aantal vestigingen winning van delfstoffen|2015";"Aantal vestigingen winning van delfstoffen|2016";"Aantal vestigingen winning van delfstoffen|2017";"Aantal vestigingen winning van delfstoffen|2018";"Aantal vestigingen winning van delfstoffen|2019";"Aantal vestigingen industrie|2015";"Aantal vestigingen industrie|2016";"Aantal vestigingen industrie|2017";"Aantal vestigingen industrie|2018";"Aantal vestigingen industrie|2019";"Aantal vestigingen productie, distributie en handel in elektriciteit en aardgas|2015";"Aantal vestigingen productie, distributie en handel in elektriciteit en aardgas|2016";"Aantal vestigingen productie, distributie en handel in elektriciteit en aardgas|2017";"Aantal vestigingen productie, distributie en handel in elektriciteit en aardgas|2018";"Aantal vestigingen productie, distributie en handel in elektriciteit en aardgas|2019";"Aantal vestigingen winning/ distributie van water; afval(water)beheer, sanering|2015";"Aantal vestigingen winning/ distributie van water; afval(water)beheer, sanering|2016";"Aantal vestigingen winning/ distributie van water; afval(water)beheer, sanering|2017";"Aantal vestigingen winning/ distributie van water; afval(water)beheer, sanering|2018";"Aantal vestigingen winning/ distributie van water; afval(water)beheer, sanering|2019";"Aantal vestigingen bouwnijverheid|2015";"Aantal vestigingen bouwnijverheid|2016";"Aantal vestigingen bouwnijverheid|2017";"Aantal vestigingen bouwnijverheid|2018";"Aantal vestigingen bouwnijverheid|2019";"Aantal vestigingen groot- en detailhandel; reparatie van auto's|2015";"Aantal vestigingen groot- en detailhandel; reparatie van auto's|2016";"Aantal vestigingen groot- en detailhandel; reparatie van auto's|2017";"Aantal vestigingen groot- en detailhandel; reparatie van auto's|2018";"Aantal vestigingen groot- en detailhandel; reparatie van auto's|2019";"Aantal vestigingen vervoer en opslag|2015";"Aantal vestigingen vervoer en opslag|2016";"Aantal vestigingen vervoer en opslag|2017";"Aantal vestigingen vervoer en opslag|2018";"Aantal vestigingen vervoer en opslag|2019";"Aantal vestigingen logies-, maaltijd- en drankverstrekking|2015";"Aantal vestigingen logies-, maaltijd- en drankverstrekking|2016";"Aantal vestigingen logies-, maaltijd- en drankverstrekking|2017";"Aantal vestigingen logies-, maaltijd- en drankverstrekking|2018";"Aantal vestigingen logies-, maaltijd- en drankverstrekking|2019";"Aantal vestigingen informatie en communicatie|2015";"Aantal vestigingen informatie en communicatie|2016";"Aantal vestigingen informatie en communicatie|2017";"Aantal vestigingen informatie en communicatie|2018";"Aantal vestigingen informatie en communicatie|2019";"Aantal vestigingen financi%le instellingen|2015";"Aantal vestigingen financi%le instellingen|2016";"Aantal vestigingen financi%le instellingen|2017";"Aantal vestigingen financi%le instellingen|2018";"Aantal vestigingen financi%le instellingen|2019";"Aantal vestigingen verhuur van en handel in onroerend goed|2015";"Aantal vestigingen verhuur van en handel in onroerend goed|2016";"Aantal vestigingen verhuur van en handel in onroerend goed|2017";"Aantal vestigingen verhuur van en handel in onroerend goed|2018";"Aantal vestigingen verhuur van en handel in onroerend goed|2019";"Aantal vestigingen advisering, onderzoek, special. zakelijke dienstverlening|2015";"Aantal vestigingen advisering, onderzoek, special. zakelijke dienstverlening|2016";"Aantal vestigingen advisering, onderzoek, special. zakelijke dienstverlening|2017";"Aantal vestigingen advisering, onderzoek, special. zakelijke dienstverlening|2018";"Aantal vestigingen advisering, onderzoek, special. zakelijke dienstverlening|2019";"Aantal vestigingen verhuur van roerende goederen, overige zakelijke dienstverlening|2015";"Aantal vestigingen verhuur van roerende goederen, overige zakelijke dienstverlening|2016";"Aantal vestigingen verhuur van roerende goederen, overige zakelijke dienstverlening|2017";"Aantal vestigingen verhuur van roerende goederen, overige zakelijke dienstverlening|2018";"Aantal vestigingen verhuur van roerende goederen, overige zakelijke dienstverlening|2019";"Aantal vestigingen openbaar bestuur, overheidsdiensten, sociale verzekeringen|2015";"Aantal vestigingen openbaar bestuur, overheidsdiensten, sociale verzekeringen|2016";"Aantal vestigingen openbaar bestuur, overheidsdiensten, sociale verzekeringen|2017";"Aantal vestigingen openbaar bestuur, overheidsdiensten, sociale verzekeringen|2018";"Aantal vestigingen openbaar bestuur, overheidsdiensten, sociale verzekeringen|2019";"Aantal vestigingen onderwijs|2015";"Aantal vestigingen onderwijs|2016";"Aantal vestigingen onderwijs|2017";"Aantal vestigingen onderwijs|2018";"Aantal vestigingen onderwijs|2019";"Aantal vestigingen gezondheids- en welzijnszorg|2015";"Aantal vestigingen gezondheids- en welzijnszorg|2016";"Aantal vestigingen gezondheids- en welzijnszorg|2017";"Aantal vestigingen gezondheids- en welzijnszorg|2018";"Aantal vestigingen gezondheids- en welzijnszorg|2019";"Aantal vestigingen cultuur, sport en recreatie|2015";"Aantal vestigingen cultuur, sport en recreatie|2016";"Aantal vestigingen cultuur, sport en recreatie|2017";"Aantal vestigingen cultuur, sport en recreatie|2018";"Aantal vestigingen cultuur, sport en recreatie|2019";"Aantal vestigingen overige dienstverlening|2015";"Aantal vestigingen overige dienstverlening|2016";"Aantal vestigingen overige dienstverlening|2017";"Aantal vestigingen overige dienstverlening|2018";"Aantal vestigingen overige dienstverlening|2019";"Aantal vestigingen extraterritoriale organisaties en lichamen|2015";"Aantal vestigingen extraterritoriale organisaties en lichamen|2016";"Aantal vestigingen extraterritoriale organisaties en lichamen|2017";"Aantal vestigingen extraterritoriale organisaties en lichamen|2018";"Aantal vestigingen extraterritoriale organisaties en lichamen|2019"
"01 Oud Scheveningen";0;0;0;0;0;0;0;0;0;0;13;13;12;10;12;0;0;0;0;0;1;2;2;1;1;32;33;33;37;46;46;42;44;40;40;4;5;5;8;7;17;17;16;17;20;17;18;20;23;25;5;5;4;4;5;7;6;6;5;5;86;88;87;95;97;11;14;12;18;19;3;3;1;1;1;19;27;24;26;24;18;18;22;32;35;28;33;37;37;34;14;16;16;14;18;0;0;0;0;0
"02 Vissershaven";9;7;7;7;6;1;1;1;2;1;22;23;22;22;22;0;0;0;0;0;0;0;0;0;0;53;63;62;58;64;106;109;112;107;119;12;13;18;18;19;45;48;40;44;39;29;35;35;38;38;11;12;9;9;10;24;23;24;23;22;108;123;121;131;153;28;29;29;32;34;2;2;2;2;2;18;20;22;19;35;24;29;33;37;43;38;41;44;43;41;18;20;19;24;22;0;0;0;0;0
"03 Scheveningen Badplaats";3;2;2;2;2;0;0;0;0;0;13;9;12;9;10;0;0;1;1;1;0;0;0;0;0;61;58;60;69;71;70;77;71;72;67;11;9;9;11;12;99;97;102;109;113;44;52;53;52;55;4;4;4;4;3;16;13;14;18;17;177;168;174;203;217;28;33;34;31;37;1;1;1;1;2;37;50;57;57;57;45;49;54;51;56;73;67;74;80;79;39;35;35;33;34;0;0;0;0;0
"04 Visserijbuurt";2;2;2;2;2;0;0;0;0;0;15;14;13;12;11;0;0;0;0;0;1;2;2;3;3;37;41;44;47;47;65;66;70;67;69;1;1;1;4;6;18;20;20;20;20;20;19;23;17;18;3;3;4;4;4;5;8;6;8;7;78;86;87;94;104;22;24;23;24;18;6;6;6;6;6;22;27;28;26;31;47;49;50;49;50;39;45;42;46;51;24;26;27;27;28;0;0;0;0;0
"05 v Stolkpark/Schev Bosjes";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;2;2;2;1;1;11;11;9;6;7;0;0;0;0;0;3;3;4;4;5;11;10;10;11;11;1;1;1;2;2;6;6;5;2;2;33;36;40;38;34;6;4;5;6;6;0;0;0;0;0;8;9;9;8;7;13;14;16;16;16;6;8;10;8;12;6;6;6;6;7;7;7;7;7;7
"06 Waldeck-Zuid";3;3;3;2;2;0;0;0;0;0;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;15;15;19;20;22;6;7;7;7;11;2;2;3;3;3;1;1;2;1;0;5;5;5;7;9;1;1;1;1;1;1;1;1;2;2;10;12;12;10;13;5;4;5;2;3;1;1;1;1;1;4;4;3;2;2;6;8;10;10;11;3;4;6;5;5;4;5;5;5;4;0;0;0;0;0
"07 Statenkwartier";3;2;1;1;1;1;1;1;1;1;24;25;24;24;24;1;1;1;1;1;0;0;0;0;0;37;40;42;49;40;183;186;191;182;184;6;5;7;6;9;44;46;42;47;49;66;72;83;85;96;29;28;27;24;25;33;33;34;36;34;432;439;460;454;470;43;37;43;38;35;2;1;0;0;0;55;56;59;74;71;168;174;168;188;179;92;96;102;103;121;48;45;46;44;46;5;5;5;5;5
"08 Geuzenkwartier";3;3;3;4;3;0;0;0;0;0;6;8;9;8;8;0;0;0;0;0;0;0;0;0;0;45;45;46;58;70;30;32;33;37;35;4;4;6;4;4;10;10;10;11;11;24;21;24;30;28;0;1;1;1;1;5;8;7;5;7;85;94;88;92;91;19;20;24;21;15;0;0;0;0;0;24;27;30;35;32;35;32;32;34;35;31;35;38;49;43;16;19;21;22;17;0;0;0;0;0
"09 Vogelwijk";1;0;0;0;0;0;0;0;0;0;4;4;4;3;6;0;0;0;0;0;1;1;1;1;1;18;15;18;18;17;42;41;39;42;49;2;3;3;3;3;8;11;11;14;18;27;31;30;35;40;10;8;8;8;9;16;14;14;12;17;188;194;195;214;229;20;19;19;21;23;1;1;0;0;0;41;38;38;43;48;76;82;84;87;89;21;22;27;25;28;13;13;13;16;18;0;0;0;0;0
"10 Rond de Energiecentrale";9;10;9;10;17;0;0;0;0;0;17;18;16;17;20;1;0;0;0;0;0;0;0;1;2;91;93;90;108;126;71;73;76;84;92;9;9;13;15;22;23;27;29;25;26;34;33;39;40;42;4;3;2;2;3;7;7;6;4;6;124;140;142;152;161;43;37;36;37;39;6;6;6;6;6;24;22;26;34;34;62;68;74;80;91;84;91;105;108;105;32;29;34;30;32;0;0;0;0;0
"11 Kortenbos";14;9;7;5;5;1;0;0;0;0;30;28;28;29;32;0;0;0;0;0;0;0;0;0;1;42;42;41;45;60;243;231;233;230;233;12;10;9;9;15;116;117;133;139;141;67;62;62;68;77;7;7;8;4;5;15;10;11;14;14;252;242;239;225;243;35;36;33;31;42;4;4;4;4;4;33;34;49;50;57;101;103;100;96;98;144;147;146;145;162;78;76;74;79;84;0;0;0;0;0
"12 Voorhout";0;0;0;0;0;1;1;2;2;4;28;28;29;27;26;0;0;0;1;1;0;0;0;0;1;17;14;22;20;31;261;259;260;265;259;5;5;3;4;7;157;156;153;153;150;56;57;67;73;80;29;30;28;22;22;30;29;31;32;30;248;251;260;275;293;38;42;42;47;49;17;19;18;19;20;29;29;26;31;36;39;44;51;54;70;66;64;67;86;96;76;74;78;76;81;22;22;21;22;21
"13 Uilebomen";0;0;0;0;0;0;0;0;0;0;6;6;5;4;3;0;0;0;0;0;1;0;0;0;0;7;5;6;6;14;73;74;70;68;70;9;8;9;9;12;48;48;53;61;65;19;20;28;26;28;4;4;4;4;4;4;2;4;3;3;78;86;87;95;102;14;13;13;12;12;26;25;28;29;29;13;14;21;24;27;22;27;25;24;31;35;38;41;38;44;29;25;25;29;30;1;1;2;2;2
